Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.05432,54.8479,1,,0
QUIC,1.05442,55.0682,1,,0
QUIC,1.05452,55.4086,1,,0
QUIC,1.05462,55.749,1,,0
QUIC,1.05472,56.0893,1,,0
QUIC,1.05482,56.4296,1,,0
QUIC,1.05492,56.7699,1,,0
QUIC,1.05502,57.1102,1,,0
QUIC,1.05512,57.4506,1,,0
QUIC,1.05522,57.7909,1,,0
QUIC,1.05532,58.1312,1,,0
QUIC,1.05542,58.4715,1,,0
QUIC,1.05552,58.8118,1,,0
QUIC,1.05562,59.1522,1,,0
QUIC,1.05572,59.4925,1,,0
QUIC,1.05582,59.8328,1,,0
QUIC,1.05592,60.1731,1,,0
QUIC,1.05602,60.5134,1,,0
QUIC,1.05612,60.8538,1,,0
QUIC,1.05622,61.1941,1,,0
QUIC,1.05632,61.5344,1,,0
QUIC,1.05642,61.8747,1,,0
QUIC,1.05652,62.215,1,,0
QUIC,1.05662,62.5554,1,,0
QUIC,1.05672,62.8957,1,,0
QUIC,1.05682,63.236,1,,0
QUIC,1.05692,63.5763,1,,0
QUIC,1.05702,63.9166,1,,0
QUIC,1.05712,64.257,1,,0
QUIC,1.05722,64.5973,1,,0
QUIC,1.05732,64.9376,1,,0
QUIC,1.05742,65.2779,1,,0
QUIC,1.05752,65.6182,1,,0
QUIC,1.05762,65.9586,1,,0
QUIC,1.05772,66.2989,1,,0
QUIC,1.05782,66.6392,1,,0
QUIC,1.05792,66.9795,1,,0
QUIC,1.05802,67.3198,1,,0
QUIC,1.05812,67.5599,1,,0
QUIC,1.05822,67.6998,1,,0
