Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.05457,55.2941,1,,0
QUIC,1.05491,56.4285,1,,0
QUIC,1.05524,57.5629,1,,0
QUIC,1.05557,58.6973,1,,0
QUIC,1.05591,59.8317,1,,0
QUIC,1.05657,60.6325,1,,0
QUIC,1.05691,61.7668,1,,0
QUIC,1.05724,62.9012,1,,0
QUIC,1.05757,64.0356,1,,0
QUIC,1.05791,65.17,1,,0
QUIC,1.05824,66.3044,1,,0
QUIC,1.05858,67.4388,1,,0
QUIC,1.05891,68.5732,1,,0
QUIC,1.05958,69.374,1,,0
QUIC,1.05991,70.5084,1,,0
QUIC,1.06024,71.6428,1,,0
QUIC,1.06091,72.4436,1,,0
QUIC,1.06124,73.578,1,,0
QUIC,1.06158,74.7124,1,,0
QUIC,1.06191,75.8468,1,,0
QUIC,1.06225,76.9812,1,,0
QUIC,1.06258,78.1156,1,,0
QUIC,1.06291,79.25,1,,0
QUIC,1.06325,80.3844,1,,0
QUIC,1.06358,81.5188,1,,0
QUIC,1.06391,82.6532,1,,0
QUIC,1.06425,83.7876,1,,0
QUIC,1.06458,85.3314,1,,0
QUIC,1.06491,86.8751,1,,0
QUIC,1.06525,88.4188,1,,0
QUIC,1.06558,89.9626,1,,0
QUIC,1.06591,91.5063,1,,0
QUIC,1.06625,92.6407,1,,0
QUIC,1.06658,94.1844,1,,0
QUIC,1.06725,97.2719,1,,0
QUIC,1.06758,98.8156,1,,0
QUIC,1.06692,105.729,1,,0
