FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.0.80.2,10.0.0.1,49153,8000,1620494,1533233,1148,1089,61,30.1598,0.027695,0.825089
2,UDP,10.0.81.2,10.0.0.1,49153,8000,14295,13044,14,13,1,0.361845,0.0278342,0.523762
3,UDP,10.0.82.2,10.0.0.1,49153,8000,495478,466647,356,337,22,9.35616,0.0277631,0.818452
4,UDP,10.0.83.2,10.0.0.1,49153,8000,2364620,2257887,1650,1581,69,43.8282,0.0277218,0.899381
5,UDP,10.0.84.2,10.0.0.1,49153,8000,2500,2500,2,2,0,0.0602195,0.0301098,0.357824
6,UDP,10.0.0.1,10.0.80.2,49153,49153,56531,55053,596,578,18,15.6308,0.027043,0.0296357
7,UDP,10.0.0.1,10.0.81.2,49154,49153,498,498,9,9,0,0.243259,0.0270288,0.027603
8,UDP,10.0.0.1,10.0.82.2,49155,49153,12566,12312,181,178,3,4.81157,0.0270313,0.0215024
9,UDP,10.0.0.1,10.0.83.2,49156,49153,87570,84520,857,827,30,22.3668,0.0270457,0.0336682
10,UDP,10.0.0.1,10.0.84.2,49157,49153,107,57,2,1,1,0.0270252,0.0270252,456000
11,UDP,10.0.106.2,10.0.0.1,49153,9999,241380,236520,447,438,6,11.9378,0.0272553,0.0636559
12,UDP,10.0.127.2,10.0.0.1,49153,9999,205740,199260,381,369,8,10.0557,0.0272511,0.0535798
13,UDP,10.0.132.2,10.0.0.1,49153,9999,247320,237600,458,440,13,11.9997,0.027272,0.064431
14,UDP,10.0.173.2,10.0.0.1,49153,9999,235440,230580,436,427,6,11.6454,0.0272727,0.0635239
15,UDP,10.0.102.2,10.0.0.1,49153,9999,205740,201960,381,374,6,10.1945,0.0272581,0.0555133
16,UDP,10.0.142.2,10.0.0.1,49153,9999,181980,174960,337,324,10,8.83233,0.0272603,0.0471391
17,UDP,10.0.147.2,10.0.0.1,49153,9999,173340,170640,321,316,5,8.61502,0.0272627,0.0460048
18,UDP,10.0.104.2,10.0.0.1,49153,9999,170640,165240,316,306,5,8.34017,0.0272555,0.0459327
19,UDP,10.0.149.2,10.0.0.1,49153,9999,173880,167400,322,310,8,8.45931,0.0272881,0.0451147
20,UDP,10.0.183.2,10.0.0.1,49153,9999,179280,176580,332,327,3,8.91145,0.0272522,0.0476781
21,UDP,10.0.163.2,10.0.0.1,49153,9999,194940,189000,361,350,7,9.54314,0.0272661,0.050959
22,UDP,10.0.139.2,10.0.0.1,49153,9999,209520,203040,388,376,8,10.2515,0.0272647,0.0552373
23,UDP,10.0.101.2,10.0.0.1,49153,9999,215460,204660,399,379,14,10.3359,0.0272714,0.0553387
24,UDP,10.0.159.2,10.0.0.1,49153,9999,192780,186840,357,346,10,9.4324,0.0272613,0.0503867
25,UDP,10.0.154.2,10.0.0.1,49153,9999,164160,160380,304,297,6,8.09878,0.0272686,0.0432842
26,UDP,10.0.171.2,10.0.0.1,49153,9999,201420,196560,373,364,6,9.91989,0.0272524,0.053035
27,UDP,10.0.172.2,10.0.0.1,49153,9999,196020,191160,363,354,8,9.64838,0.0272553,0.051574
28,UDP,10.0.155.2,10.0.0.1,49153,9999,176040,169020,326,313,10,8.53143,0.0272569,0.0455994
29,UDP,10.0.177.2,10.0.0.1,49153,9999,167400,163620,310,303,2,8.25804,0.0272542,0.0441635
30,UDP,10.0.143.2,10.0.0.1,49153,9999,197640,195480,366,362,1,9.86314,0.0272462,0.0528027
31,UDP,10.0.133.2,10.0.0.1,49153,9999,225180,219240,417,406,8,11.0676,0.0272602,0.0592498
32,UDP,10.0.189.2,10.0.0.1,49153,9999,216000,204660,400,379,13,10.3298,0.0272554,0.0572765
33,UDP,10.0.197.2,10.0.0.1,49153,9999,249480,241920,462,448,11,12.2136,0.0272625,0.0653791
34,UDP,10.0.198.2,10.0.0.1,49153,9999,216000,209520,400,388,8,10.5752,0.0272557,0.0578669
35,UDP,10.0.162.2,10.0.0.1,49153,9999,177660,175500,329,325,4,8.8594,0.0272597,0.0474303
36,UDP,10.0.116.2,10.0.0.1,49153,9999,189540,187920,351,348,1,9.48927,0.027268,0.0507791
37,UDP,10.0.161.2,10.0.0.1,49153,9999,190620,186300,353,345,7,9.40866,0.0272715,0.0540193
38,UDP,10.0.170.2,10.0.0.1,49153,9999,142020,135540,263,251,10,6.84466,0.0272696,0.0378762
39,UDP,10.0.184.2,10.0.0.1,49153,9999,191160,185220,354,343,11,9.35106,0.0272626,0.0501172
40,UDP,10.0.167.2,10.0.0.1,49153,9999,234900,228960,435,424,9,11.5597,0.0272634,0.0631678
41,UDP,10.0.136.2,10.0.0.1,49153,9999,179820,173880,333,322,9,8.77248,0.0272437,0.0482766
42,UDP,10.0.174.2,10.0.0.1,49153,9999,131760,129060,244,239,4,6.51807,0.0272723,0.0352568
43,UDP,10.0.164.2,10.0.0.1,49153,9999,188460,180900,349,335,10,9.13277,0.027262,0.0503125
44,UDP,10.0.180.2,10.0.0.1,49153,9999,160380,157140,297,291,6,7.93849,0.02728,0.0425714
45,UDP,10.0.124.2,10.0.0.1,49153,9999,180900,177660,335,329,1,8.96938,0.0272625,0.0483685
46,UDP,10.0.181.2,10.0.0.1,49153,9999,222480,217080,412,402,7,10.9578,0.0272583,0.0588332
47,UDP,10.0.150.2,10.0.0.1,49153,9999,245700,233280,455,432,14,11.7782,0.0272642,0.0631837
48,UDP,10.0.120.2,10.0.0.1,49153,9999,188460,181440,349,336,9,9.16413,0.0272742,0.0491822
49,UDP,10.0.194.2,10.0.0.1,49153,9999,183060,178740,339,331,8,9.02262,0.0272587,0.0484237
50,UDP,10.0.112.2,10.0.0.1,49153,9999,254340,247320,471,458,9,12.4933,0.0272779,0.0670531
51,UDP,10.0.195.2,10.0.0.1,49153,9999,173340,167940,321,311,5,8.47486,0.0272503,0.0455456
52,UDP,10.0.113.2,10.0.0.1,49153,9999,169560,166320,314,308,3,8.39341,0.0272513,0.0451218
53,UDP,10.0.117.2,10.0.0.1,49153,9999,240840,235440,446,436,7,11.8843,0.0272577,0.0639293
54,UDP,10.0.114.2,10.0.0.1,49153,9999,151740,147960,281,274,3,7.46881,0.0272584,0.0409326
55,UDP,10.0.178.2,10.0.0.1,49153,9999,184680,179280,342,332,4,9.04788,0.0272527,0.0487452
56,UDP,10.0.188.2,10.0.0.1,49153,9999,189000,183060,350,339,4,9.23827,0.0272515,0.049805
57,UDP,10.0.199.2,10.0.0.1,49153,9999,207900,202500,385,375,4,10.2232,0.027262,0.0550505
58,UDP,10.0.125.2,10.0.0.1,49153,9999,185760,180900,344,335,7,9.13644,0.027273,0.0492052
59,UDP,10.0.165.2,10.0.0.1,49153,9999,219780,214380,407,397,8,10.8203,0.0272552,0.0583993
60,UDP,10.0.135.2,10.0.0.1,49153,9999,218160,212220,404,393,9,10.7141,0.0272624,0.0579016
61,UDP,10.0.148.2,10.0.0.1,49153,9999,222480,213840,412,396,10,10.7933,0.0272559,0.0581955
62,UDP,10.0.186.2,10.0.0.1,49153,9999,201420,196020,373,363,7,9.89993,0.0272725,0.0539687
63,UDP,10.0.191.2,10.0.0.1,49153,9999,177660,172800,329,320,6,8.72164,0.0272551,0.0472628
64,UDP,10.0.107.2,10.0.0.1,49153,9999,233820,227340,433,421,8,11.4804,0.0272695,0.0619319
65,UDP,10.0.176.2,10.0.0.1,49153,9999,190080,182520,352,338,10,9.2173,0.0272701,0.0499368
66,UDP,10.0.115.2,10.0.0.1,49153,9999,198180,190620,367,353,11,9.61946,0.0272506,0.0519834
67,UDP,10.0.105.2,10.0.0.1,49153,9999,172800,169560,320,314,5,8.56481,0.0272765,0.0463195
68,UDP,10.0.126.2,10.0.0.1,49153,9999,176040,170640,326,316,7,8.61541,0.0272639,0.0466362
69,UDP,10.0.122.2,10.0.0.1,49153,9999,140940,135540,261,251,7,6.83851,0.0272451,0.037063
70,UDP,10.0.166.2,10.0.0.1,49153,9999,176040,173340,326,321,4,8.74864,0.0272543,0.0475748
71,UDP,10.0.131.2,10.0.0.1,49153,9999,173880,170100,322,315,6,8.59449,0.0272841,0.0499921
72,UDP,10.0.169.2,10.0.0.1,49153,9999,215460,208440,399,386,10,10.5264,0.0272704,0.0578863
73,UDP,10.0.129.2,10.0.0.1,49153,9999,199260,192780,369,357,11,9.73119,0.0272582,0.0534053
74,UDP,10.0.138.2,10.0.0.1,49153,9999,152280,145260,282,269,5,7.33405,0.0272641,0.0421345
75,UDP,10.0.128.2,10.0.0.1,49153,9999,234360,226260,434,419,15,11.4236,0.027264,0.0621578
76,UDP,10.0.141.2,10.0.0.1,49153,9999,247860,240840,459,446,9,12.1592,0.0272628,0.0667737
77,UDP,10.0.144.2,10.0.0.1,49153,9999,164700,160380,305,297,5,8.09413,0.027253,0.044154
78,UDP,10.0.187.2,10.0.0.1,49153,9999,231120,224640,428,416,9,11.3491,0.0272815,0.0629122
79,UDP,10.0.168.2,10.0.0.1,49153,9999,238140,227340,441,421,12,11.4758,0.0272584,0.0626366
80,UDP,10.0.111.2,10.0.0.1,49153,9999,137700,133920,255,248,6,6.7603,0.0272593,0.038103
81,UDP,10.0.160.2,10.0.0.1,49153,9999,220320,214380,408,397,7,10.8195,0.0272532,0.0593426
82,UDP,10.0.110.2,10.0.0.1,49153,9999,208980,204660,387,379,4,10.3286,0.0272523,0.0567699
83,UDP,10.0.151.2,10.0.0.1,49153,9999,205200,196020,380,363,11,9.89666,0.0272635,0.0545829
84,UDP,10.0.118.2,10.0.0.1,49153,9999,212220,208440,393,386,4,10.5204,0.0272548,0.059404
85,UDP,10.0.190.2,10.0.0.1,49153,9999,151740,145800,281,270,10,7.36212,0.0272671,0.0407774
86,UDP,10.0.108.2,10.0.0.1,49153,9999,149040,143640,276,266,7,7.24942,0.0272535,0.040758
87,UDP,10.0.156.2,10.0.0.1,49153,9999,187380,178740,347,331,11,9.02134,0.0272548,0.0496937
88,UDP,10.0.140.2,10.0.0.1,49153,9999,193860,184680,359,342,10,9.32732,0.0272729,0.051236
89,UDP,10.0.146.2,10.0.0.1,49153,9999,200880,191700,372,355,13,9.67414,0.0272511,0.0531746
90,UDP,10.0.182.2,10.0.0.1,49153,9999,155520,149580,288,277,6,7.55125,0.0272608,0.0416993
91,UDP,10.0.145.2,10.0.0.1,49153,9999,185760,181440,344,336,6,9.16956,0.0272904,0.0521624
92,UDP,10.0.175.2,10.0.0.1,49153,9999,234360,226800,434,420,8,11.4438,0.0272472,0.0631859
93,UDP,10.0.103.2,10.0.0.1,49153,9999,207360,200340,384,371,9,10.1082,0.0272459,0.0559826
94,UDP,10.0.192.2,10.0.0.1,49153,9999,172800,165780,320,307,7,8.36225,0.0272386,0.0463452
95,UDP,10.0.134.2,10.0.0.1,49153,9999,211680,208440,392,386,4,10.5316,0.027284,0.0585569
96,UDP,10.0.193.2,10.0.0.1,49153,9999,223020,218160,413,404,8,11.0071,0.0272453,0.0642662
97,UDP,10.0.137.2,10.0.0.1,49153,9999,172800,167940,320,311,5,8.47455,0.0272494,0.0472965
98,UDP,10.0.123.2,10.0.0.1,49153,9999,231660,224100,429,415,5,11.3144,0.0272636,0.0628745
99,UDP,10.0.157.2,10.0.0.1,49153,9999,225720,221400,418,410,7,11.1792,0.0272664,0.0624682
100,UDP,10.0.153.2,10.0.0.1,49153,9999,179820,174960,333,324,5,8.83178,0.0272586,0.0504218
101,UDP,10.0.196.2,10.0.0.1,49153,9999,192780,188460,357,349,7,9.51383,0.0272603,0.0534438
102,UDP,10.0.130.2,10.0.0.1,49153,9999,213300,206280,395,382,8,10.411,0.027254,0.0585789
103,UDP,10.0.100.2,10.0.0.1,49153,9999,158220,152820,293,283,8,7.71351,0.0272562,0.0445721
104,UDP,10.0.152.2,10.0.0.1,49153,9999,177120,171180,328,317,7,8.64217,0.0272624,0.048942
105,UDP,10.0.179.2,10.0.0.1,49153,9999,211140,206280,391,382,8,10.413,0.0272591,0.0590643
106,UDP,10.0.185.2,10.0.0.1,49153,9999,220320,212220,408,393,10,10.7067,0.0272436,0.0608289
107,UDP,10.0.109.2,10.0.0.1,49153,9999,146340,143100,271,265,4,7.22182,0.0272522,0.0414947
108,UDP,10.0.119.2,10.0.0.1,49153,9999,183060,178200,339,330,5,8.99842,0.0272679,0.0539784
109,UDP,10.0.121.2,10.0.0.1,49153,9999,177120,173340,328,321,2,8.74811,0.0272527,0.0516841
110,UDP,10.0.158.2,10.0.0.1,49153,9999,175500,167940,325,311,9,8.47787,0.02726,0.0513506
