Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1.3,-1,0,Timeout,0
TCP,2.7,-1,0,Timeout,0
TCP,1,4164.51,1,Pending,0
TCP,1.1,1164.56,1,Pending,0
TCP,1.2,1109.29,1,Pending,0
TCP,1.4,1109.69,1,Pending,0
TCP,1.5,109.707,1,Pending,0
TCP,1.6,109.707,1,Pending,0
TCP,1.7,1163.29,1,Pending,0
TCP,1.8,2164.18,1,Pending,0
TCP,1.9,1164.56,1,Pending,0
TCP,2,1164.05,1,Pending,0
TCP,2.1,109.756,1,Pending,0
TCP,2.2,1109.7,1,Pending,0
TCP,2.3,4164.3,1,Pending,0
TCP,2.4,110.095,1,Pending,0
TCP,2.5,109.773,1,Pending,0
TCP,2.6,10163.4,1,Pending,0
TCP,2.8,4163.94,1,Pending,0
TCP,2.9,3110.09,1,Pending,0
TCP,3,109.707,1,Pending,0
TCP,3.1,109.847,1,Pending,0
TCP,3.2,4164.89,1,Pending,0
TCP,3.3,110.156,1,Pending,0
TCP,3.4,3109.72,1,Pending,0
TCP,3.5,109.707,1,Pending,0
TCP,3.6,10109.4,1,Pending,0
TCP,3.7,109.736,1,Pending,0
TCP,3.8,109.894,1,Pending,0
TCP,3.9,3109.85,1,Pending,0
TCP,4,1109.34,1,Pending,0
TCP,4.1,110.163,1,Pending,0
TCP,4.2,1163.96,1,Pending,0
TCP,4.3,1164.03,1,Pending,0
TCP,4.4,1218.85,1,Pending,0
TCP,4.5,10109.4,1,Pending,0
TCP,4.6,12109.7,1,Pending,0
TCP,4.7,1164.36,1,Pending,0
TCP,4.8,109.707,1,Pending,0
TCP,4.9,1109.69,1,Pending,0
