FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3728,3620,10,8,2,0.21919,0.0273987,0.00469835
2,TCP,10.10.1.2,10.0.0.1,49153,5001,4872,3368,9,7,2,0.191323,0.0273319,0.0166457
3,TCP,10.0.0.1,10.10.1.2,5001,49153,220,168,4,3,1,0.081318,0.027106,0.00121093
4,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3316,7,6,1,0.164891,0.0274819,0.0856552
5,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
6,UDP,10.12.151.2,10.0.0.1,49153,9999,197640,161460,366,299,48,8.15317,0.0272681,0.0447754
7,UDP,10.12.41.2,10.0.0.1,49153,9999,187380,163080,347,302,36,8.23135,0.0272561,0.0439034
8,UDP,10.12.113.2,10.0.0.1,49153,9999,171180,146340,317,271,32,7.38978,0.0272686,0.0415098
9,UDP,10.12.49.2,10.0.0.1,49153,9999,185760,158220,344,293,37,7.99146,0.0272746,0.042621
10,UDP,10.12.187.2,10.0.0.1,49153,9999,245160,200340,454,371,54,10.1111,0.0272537,0.0543304
11,UDP,10.12.148.2,10.0.0.1,49153,9999,185760,160380,344,297,35,8.09213,0.0272462,0.0431828
12,UDP,10.12.132.2,10.0.0.1,49153,9999,210600,181980,390,337,36,9.18445,0.0272536,0.0491392
13,UDP,10.12.19.2,10.0.0.1,49153,9999,206280,178200,382,330,42,8.99366,0.0272535,0.0479974
14,UDP,10.12.193.2,10.0.0.1,49153,9999,221940,180360,411,334,53,9.10575,0.0272627,0.0489252
15,UDP,10.12.183.2,10.0.0.1,49153,9999,185760,163080,344,302,37,8.23214,0.0272587,0.0449849
16,UDP,10.12.152.2,10.0.0.1,49153,9999,201960,170640,374,316,36,8.61897,0.0272752,0.046132
17,UDP,10.12.166.2,10.0.0.1,49153,9999,203580,172260,377,319,41,8.70122,0.0272766,0.0464358
18,UDP,10.12.111.2,10.0.0.1,49153,9999,174960,147420,324,273,36,7.44298,0.0272637,0.0415413
19,TCP,10.10.3.2,10.0.0.1,49153,5003,3480,3228,9,8,1,0.21802,0.0272525,0.00244452
20,UDP,10.12.125.2,10.0.0.1,49153,9999,230040,191160,426,354,51,9.64971,0.0272591,0.0524045
21,UDP,10.12.136.2,10.0.0.1,49153,9999,199800,168480,370,312,47,8.50621,0.0272635,0.0472397
22,UDP,10.12.139.2,10.0.0.1,49153,9999,185220,160920,343,298,32,8.13287,0.0272915,0.0444168
23,UDP,10.12.12.2,10.0.0.1,49153,9999,214380,178200,397,330,52,8.99835,0.0272677,0.0480284
24,UDP,10.12.121.2,10.0.0.1,49153,9999,199800,168480,370,312,39,8.51002,0.0272757,0.045863
25,UDP,10.12.50.2,10.0.0.1,49153,9999,153900,135540,285,251,27,6.84474,0.0272699,0.0367007
26,UDP,10.12.173.2,10.0.0.1,49153,9999,255960,217080,474,402,47,10.9609,0.0272659,0.0590571
27,UDP,10.12.42.2,10.0.0.1,49153,9999,175500,151740,325,281,30,7.6677,0.0272872,0.0411025
28,TCP,10.0.0.1,10.10.3.2,5003,49153,332,164,6,3,3,0.0810834,0.0270278,0.000144898
29,UDP,10.12.13.2,10.0.0.1,49153,9999,190080,166320,352,308,28,8.39228,0.0272477,0.045057
30,UDP,10.12.94.2,10.0.0.1,49153,9999,172260,152280,319,282,30,7.69498,0.0272872,0.0410619
31,UDP,10.12.5.2,10.0.0.1,49153,9999,233820,198720,433,368,47,10.0285,0.0272515,0.0535969
32,UDP,10.12.178.2,10.0.0.1,49153,9999,211140,176580,391,327,48,8.91491,0.0272627,0.0480038
33,UDP,10.12.182.2,10.0.0.1,49153,9999,225720,190620,418,353,48,9.62816,0.0272752,0.0518866
34,UDP,10.12.119.2,10.0.0.1,49153,9999,203040,171180,376,317,47,8.64894,0.0272837,0.0491517
35,UDP,10.12.97.2,10.0.0.1,49153,9999,206820,174420,383,323,50,8.80667,0.0272652,0.0475044
36,UDP,10.12.79.2,10.0.0.1,49153,9999,190620,164160,353,304,30,8.29296,0.0272795,0.044345
37,UDP,10.12.73.2,10.0.0.1,49153,9999,150660,131220,279,243,28,6.62578,0.0272666,0.03546
38,UDP,10.12.36.2,10.0.0.1,49153,9999,181980,145800,337,270,46,7.36377,0.0272732,0.0393969
39,UDP,10.12.117.2,10.0.0.1,49153,9999,199800,168480,370,312,35,8.50737,0.0272672,0.0460034
40,UDP,10.12.47.2,10.0.0.1,49153,9999,192240,164700,356,305,34,8.31554,0.0272641,0.0460012
41,UDP,10.12.161.2,10.0.0.1,49153,9999,218700,189000,405,350,39,9.54295,0.0272656,0.0513186
42,UDP,10.12.171.2,10.0.0.1,49153,9999,225720,189000,418,350,43,9.54984,0.0272852,0.0511034
43,UDP,10.12.144.2,10.0.0.1,49153,9999,204660,176580,379,327,37,8.91242,0.0272551,0.0477298
44,UDP,10.12.35.2,10.0.0.1,49153,9999,143100,123660,265,229,27,6.24291,0.0272616,0.0334596
45,UDP,10.12.198.2,10.0.0.1,49153,9999,223560,192240,414,356,39,9.70372,0.0272576,0.0519791
46,TCP,10.10.4.2,10.0.0.1,49153,5004,3368,3316,7,6,1,0.16503,0.027505,0.0856164
47,UDP,10.12.56.2,10.0.0.1,49153,9999,230040,196560,426,364,45,9.94362,0.0273176,0.0541136
