FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,1177584,1177584,894,894,0,24.6623,0.0275864,1.16251
2,UDP,10.11.1.2,10.0.0.1,49153,8000,1177584,1177584,894,894,0,25.1401,0.0281209,1.16246
3,UDP,10.11.2.2,10.0.0.1,49153,8000,1177591,1177591,894,894,0,25.4192,0.0284331,1.16241
4,UDP,10.11.3.2,10.0.0.1,49153,8000,1177591,1177591,894,894,0,25.6981,0.028745,1.16235
5,UDP,10.11.4.2,10.0.0.1,49153,8000,1177589,1177589,894,894,0,25.9763,0.0290562,1.1623
6,UDP,10.0.0.1,10.11.0.2,49153,49153,20444,20444,448,448,0,12.1055,0.0270212,0.0203192
7,UDP,10.0.0.1,10.11.1.2,49154,49153,20452,20452,448,448,0,12.1054,0.0270209,0.020327
8,UDP,10.0.0.1,10.11.2.2,49155,49153,20451,20451,448,448,0,12.1056,0.0270214,0.0203258
9,UDP,10.0.0.1,10.11.3.2,49156,49153,20452,20452,448,448,0,12.1057,0.0270217,0.0203267
10,UDP,10.0.0.1,10.11.4.2,49157,49153,20452,20452,448,448,0,12.1058,0.0270219,0.0203266
11,UDP,10.12.22.2,10.0.0.1,49153,9999,203580,203580,377,377,0,10.3515,0.0274577,0.221961
12,UDP,10.12.15.2,10.0.0.1,49153,9999,155520,155520,288,288,0,7.90768,0.0274572,0.166972
13,UDP,10.12.19.2,10.0.0.1,49153,9999,102060,102060,189,189,0,5.19298,0.0274761,0.113003
14,UDP,10.12.16.2,10.0.0.1,49153,9999,156060,156060,289,289,0,7.94075,0.0274766,0.161128
15,UDP,10.12.11.2,10.0.0.1,49153,9999,123120,123120,228,228,0,6.26138,0.0274622,0.139878
16,UDP,10.12.1.2,10.0.0.1,49153,9999,180900,180900,335,335,0,9.1954,0.027449,0.187866
17,UDP,10.12.6.2,10.0.0.1,49153,9999,164160,164160,304,304,0,8.3473,0.0274582,0.171076
18,UDP,10.12.21.2,10.0.0.1,49153,9999,191160,191160,354,354,0,9.72234,0.0274642,0.199396
19,UDP,10.12.8.2,10.0.0.1,49153,9999,141480,141480,262,262,0,7.19813,0.0274738,0.176561
20,UDP,10.12.3.2,10.0.0.1,49153,9999,147420,147420,273,273,0,7.50191,0.0274795,0.154192
21,UDP,10.12.2.2,10.0.0.1,49153,9999,197100,197100,365,365,0,10.0324,0.0274861,0.207755
22,UDP,10.12.14.2,10.0.0.1,49153,9999,88020,88020,163,163,0,4.47577,0.0274587,0.0930176
23,UDP,10.12.27.2,10.0.0.1,49153,9999,187920,187920,348,348,0,9.56413,0.0274831,0.198031
24,UDP,10.12.23.2,10.0.0.1,49153,9999,119340,119340,221,221,0,6.06996,0.0274659,0.145359
25,UDP,10.12.28.2,10.0.0.1,49153,9999,109080,109080,202,202,0,5.55556,0.0275028,0.130533
26,UDP,10.12.12.2,10.0.0.1,49153,9999,141480,141480,262,262,0,7.19581,0.0274649,0.1511
27,UDP,10.12.9.2,10.0.0.1,49153,9999,185220,185220,343,343,0,9.41638,0.027453,0.210802
28,UDP,10.12.5.2,10.0.0.1,49153,9999,193860,193860,359,359,0,9.85634,0.027455,0.219003
29,UDP,10.12.26.2,10.0.0.1,49153,9999,185760,185760,344,344,0,9.45404,0.0274827,0.212735
30,UDP,10.12.20.2,10.0.0.1,49153,9999,120420,120420,223,223,0,6.11781,0.0274341,0.13558
31,UDP,10.12.10.2,10.0.0.1,49153,9999,184140,184140,341,341,0,9.36915,0.0274755,0.222196
32,UDP,10.12.4.2,10.0.0.1,49153,9999,95580,95580,177,177,0,4.85537,0.0274315,0.110121
33,UDP,10.12.13.2,10.0.0.1,49153,9999,103140,103140,191,191,0,5.25716,0.0275244,0.121094
34,UDP,10.12.18.2,10.0.0.1,49153,9999,81540,81540,151,151,0,4.14156,0.0274276,0.107231
35,UDP,10.12.7.2,10.0.0.1,49153,9999,103140,103140,191,191,0,5.24772,0.027475,0.162652
36,UDP,10.12.17.2,10.0.0.1,49153,9999,136080,136080,252,252,0,6.91939,0.0274579,0.165036
37,UDP,10.12.0.2,10.0.0.1,49153,9999,123120,123120,228,228,0,6.26605,0.0274827,0.164502
38,UDP,10.12.25.2,10.0.0.1,49153,9999,139860,139860,259,259,0,7.10945,0.0274496,0.181483
39,UDP,10.12.29.2,10.0.0.1,49153,9999,152820,152820,283,283,0,7.76982,0.0274552,0.19953
40,UDP,10.12.24.2,10.0.0.1,49153,9999,111240,111240,206,206,0,5.6596,0.0274738,0.153659
