FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3368,3368,7,7,0,0.191764,0.0273948,0.0869984
2,TCP,10.0.0.1,10.10.0.2,5000,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
3,TCP,10.10.1.2,10.0.0.1,49153,5001,3368,3368,7,7,0,0.191764,0.0273948,0.0869984
4,TCP,10.0.0.1,10.10.1.2,5001,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
5,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3368,7,7,0,0.191871,0.0274101,0.0869984
6,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
7,UDP,10.12.51.2,10.0.0.1,49153,9999,227880,227880,422,422,0,11.4978,0.027246,0.0621566
8,UDP,10.12.95.2,10.0.0.1,49153,9999,160380,160380,297,297,0,8.09358,0.0272511,0.0431829
9,UDP,10.12.98.2,10.0.0.1,49153,9999,182520,182520,338,338,0,9.2079,0.0272423,0.0515866
10,UDP,10.12.75.2,10.0.0.1,49153,9999,183600,183600,340,340,0,9.26228,0.027242,0.0526291
11,UDP,10.12.33.2,10.0.0.1,49153,9999,191160,191160,354,354,0,9.64491,0.0272455,0.0515
12,TCP,10.10.3.2,10.0.0.1,49153,5003,3368,3368,7,7,0,0.191764,0.0273948,0.0869984
13,UDP,10.12.1.2,10.0.0.1,49153,9999,189540,189540,351,351,0,9.56513,0.0272511,0.0514794
14,UDP,10.12.72.2,10.0.0.1,49153,9999,202500,202500,375,375,0,10.2164,0.0272436,0.0546067
15,UDP,10.12.45.2,10.0.0.1,49153,9999,176580,176580,327,327,0,8.90897,0.0272446,0.047587
16,UDP,10.12.35.2,10.0.0.1,49153,9999,204120,204120,378,378,0,10.2974,0.0272418,0.0587983
17,UDP,10.12.36.2,10.0.0.1,49153,9999,214920,214920,398,398,0,10.8457,0.0272505,0.0579458
18,TCP,10.0.0.1,10.10.3.2,5003,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
19,UDP,10.12.94.2,10.0.0.1,49153,9999,162540,162540,301,301,0,8.20213,0.0272496,0.0443441
20,UDP,10.12.29.2,10.0.0.1,49153,9999,154980,154980,287,287,0,7.81934,0.0272451,0.0419427
21,UDP,10.12.76.2,10.0.0.1,49153,9999,201960,201960,374,374,0,10.1934,0.0272552,0.0545655
22,UDP,10.12.41.2,10.0.0.1,49153,9999,233280,233280,432,432,0,11.7712,0.0272482,0.0630489
23,UDP,10.12.43.2,10.0.0.1,49153,9999,211680,211680,392,392,0,10.6775,0.0272386,0.0585894
24,UDP,10.12.54.2,10.0.0.1,49153,9999,182520,182520,338,338,0,9.20901,0.0272456,0.0517573
25,TCP,10.10.4.2,10.0.0.1,49153,5004,3368,3368,7,7,0,0.191887,0.0274124,0.0869984
26,UDP,10.12.18.2,10.0.0.1,49153,9999,188460,188460,349,349,0,9.51229,0.0272559,0.0509621
27,UDP,10.12.37.2,10.0.0.1,49153,9999,225180,225180,417,417,0,11.3575,0.0272361,0.060944
28,UDP,10.12.92.2,10.0.0.1,49153,9999,202500,202500,375,375,0,10.2203,0.0272542,0.0547592
29,UDP,10.12.86.2,10.0.0.1,49153,9999,200340,200340,371,371,0,10.1053,0.0272379,0.054211
30,UDP,10.12.27.2,10.0.0.1,49153,9999,226260,226260,419,419,0,11.4187,0.0272523,0.0612216
31,UDP,10.12.42.2,10.0.0.1,49153,9999,202500,202500,375,375,0,10.2151,0.0272404,0.0547867
32,UDP,10.12.53.2,10.0.0.1,49153,9999,153360,153360,284,284,0,7.73614,0.0272399,0.0415176
33,TCP,10.0.0.1,10.10.4.2,5004,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
34,UDP,10.12.26.2,10.0.0.1,49153,9999,152280,152280,282,282,0,7.68131,0.0272387,0.0413799
35,UDP,10.12.25.2,10.0.0.1,49153,9999,224640,224640,416,416,0,11.3395,0.0272585,0.061613
36,UDP,10.12.19.2,10.0.0.1,49153,9999,230040,230040,426,426,0,11.606,0.0272442,0.0622894
37,UDP,10.12.21.2,10.0.0.1,49153,9999,193860,193860,359,359,0,9.7792,0.0272401,0.052595
38,TCP,10.10.5.2,10.0.0.1,49153,5005,3368,3368,7,7,0,0.192053,0.0274362,0.086959
39,UDP,10.12.55.2,10.0.0.1,49153,9999,185220,185220,343,343,0,9.34479,0.0272443,0.0504724
40,UDP,10.12.91.2,10.0.0.1,49153,9999,169020,169020,313,313,0,8.5318,0.0272581,0.0468069
41,TCP,10.0.0.1,10.10.5.2,5005,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
42,UDP,10.12.32.2,10.0.0.1,49153,9999,154440,154440,286,286,0,7.79225,0.0272456,0.0422868
43,UDP,10.12.69.2,10.0.0.1,49153,9999,193320,193320,358,358,0,9.75452,0.0272473,0.0525395
