Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,4109.1,1,Pending,0
TCP,1.1,1163.46,1,Pending,0
TCP,1.2,13677.8,1,Pending,0
TCP,1.3,3417.21,1,Pending,0
TCP,1.4,14423.1,1,Pending,0
TCP,1.5,1108.87,1,Pending,0
TCP,1.6,108.871,1,Pending,0
TCP,1.7,13824.7,1,Pending,0
TCP,1.8,2163.02,1,Pending,0
TCP,1.9,1162.51,1,Pending,0
TCP,2,1108.87,1,Pending,0
TCP,2.1,1109.05,1,Pending,0
TCP,2.2,3109.11,1,Pending,0
TCP,2.3,10163.5,1,Pending,0
TCP,2.4,4108.77,1,Pending,0
TCP,2.5,3163.23,1,Pending,0
TCP,2.6,4163.53,1,Pending,0
TCP,2.7,2417.21,1,Pending,0
TCP,2.8,109,1,Pending,0
TCP,2.9,8163.66,1,Pending,0
TCP,3,3108.87,1,Pending,0
TCP,3.1,2108.97,1,Pending,0
TCP,3.2,2162.97,1,Pending,0
TCP,3.3,3108.9,1,Pending,0
TCP,3.4,1617.42,1,Pending,0
TCP,3.5,3108.87,1,Pending,0
TCP,3.6,108.91,1,Pending,0
TCP,3.7,6108.73,1,Pending,0
TCP,3.8,1108.87,1,Pending,0
TCP,3.9,4108.74,1,Pending,0
TCP,4,1108.87,1,Pending,0
TCP,4.1,1163.22,1,Pending,0
TCP,4.2,4108.87,1,Pending,0
TCP,4.3,1417.33,1,Pending,0
TCP,4.4,3417.46,1,Pending,0
TCP,4.5,1108.78,1,Pending,0
TCP,4.6,108.871,1,Pending,0
TCP,4.7,109.108,1,Pending,0
TCP,4.8,2108.75,1,Pending,0
TCP,4.9,12324.5,1,Pending,0
TCP,5,109.24,1,Pending,0
TCP,5.1,108.891,1,Pending,0
TCP,5.2,2417.17,1,Pending,0
TCP,5.3,1163.18,1,Pending,0
TCP,5.4,9108.73,1,Pending,0
