FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,297161,297161,229,229,0,6.27464,0.0274002,1.02292
2,UDP,10.0.0.1,10.11.0.2,49153,49153,5450,5450,121,121,0,3.2684,0.0270116,0.0185631
3,UDP,10.12.6.2,10.0.0.1,49153,9999,725220,725220,1343,1343,0,36.4402,0.0271334,0.194825
4,UDP,10.12.27.2,10.0.0.1,49153,9999,617220,617220,1143,1143,0,31.0147,0.0271345,0.165815
5,UDP,10.12.32.2,10.0.0.1,49153,9999,742500,742500,1375,1375,0,37.3158,0.0271387,0.201068
6,UDP,10.12.73.2,10.0.0.1,49153,9999,707400,707400,1310,1310,0,35.5453,0.0271338,0.194521
7,UDP,10.12.2.2,10.0.0.1,49153,9999,617220,617220,1143,1143,0,31.0192,0.0271384,0.169498
8,UDP,10.12.42.2,10.0.0.1,49153,9999,547020,547020,1013,1013,0,27.4948,0.0271419,0.147112
9,UDP,10.12.47.2,10.0.0.1,49153,9999,520020,520020,963,963,0,26.1316,0.0271357,0.14007
10,UDP,10.12.4.2,10.0.0.1,49153,9999,512460,512460,949,949,0,25.7512,0.0271351,0.14225
11,UDP,10.12.49.2,10.0.0.1,49153,9999,522720,522720,968,968,0,26.2698,0.0271382,0.140616
12,UDP,10.12.83.2,10.0.0.1,49153,9999,537840,537840,996,996,0,27.0256,0.0271341,0.145088
13,UDP,10.12.63.2,10.0.0.1,49153,9999,585900,585900,1085,1085,0,29.4386,0.0271323,0.157683
14,UDP,10.12.39.2,10.0.0.1,49153,9999,629640,629640,1166,1166,0,31.641,0.0271363,0.170977
15,UDP,10.12.1.2,10.0.0.1,49153,9999,647460,647460,1199,1199,0,32.5357,0.0271357,0.174747
16,UDP,10.12.59.2,10.0.0.1,49153,9999,578880,578880,1072,1072,0,29.0898,0.027136,0.155897
17,UDP,10.12.54.2,10.0.0.1,49153,9999,493560,493560,914,914,0,24.8002,0.0271337,0.13296
18,UDP,10.12.71.2,10.0.0.1,49153,9999,604800,604800,1120,1120,0,30.3931,0.0271367,0.16296
19,UDP,10.12.72.2,10.0.0.1,49153,9999,588060,588060,1089,1089,0,29.5464,0.0271317,0.15851
