Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,108.871,1,Pending,0
TCP,1.1,108.871,1,Pending,0
TCP,1.2,108.871,1,Pending,0
TCP,1.3,108.916,1,Pending,0
TCP,1.4,108.871,1,Pending,0
TCP,1.5,108.91,1,Pending,0
TCP,1.6,108.871,1,Pending,0
TCP,1.7,108.871,1,Pending,0
TCP,1.8,108.949,1,Pending,0
TCP,1.9,108.871,1,Pending,0
TCP,2,108.871,1,Pending,0
TCP,2.1,108.871,1,Pending,0
TCP,2.2,108.871,1,Pending,0
TCP,2.3,108.91,1,Pending,0
TCP,2.4,108.897,1,Pending,0
TCP,2.5,108.871,1,Pending,0
TCP,2.6,108.871,1,Pending,0
TCP,2.7,108.871,1,Pending,0
TCP,2.8,108.942,1,Pending,0
TCP,2.9,108.934,1,Pending,0
TCP,3,108.924,1,Pending,0
TCP,3.1,108.939,1,Pending,0
TCP,3.2,108.91,1,Pending,0
TCP,3.3,108.953,1,Pending,0
TCP,3.4,108.987,1,Pending,0
TCP,3.5,108.91,1,Pending,0
TCP,3.6,108.921,1,Pending,0
TCP,3.7,108.871,1,Pending,0
TCP,3.8,108.913,1,Pending,0
TCP,3.9,108.871,1,Pending,0
TCP,4,108.871,1,Pending,0
TCP,4.1,108.976,1,Pending,0
TCP,4.2,108.927,1,Pending,0
TCP,4.3,108.91,1,Pending,0
TCP,4.4,108.871,1,Pending,0
TCP,4.5,108.871,1,Pending,0
TCP,4.6,108.875,1,Pending,0
TCP,4.7,108.888,1,Pending,0
TCP,4.8,108.871,1,Pending,0
TCP,4.9,108.932,1,Pending,0
TCP,5,108.91,1,Pending,0
TCP,5.1,108.871,1,Pending,0
TCP,5.2,108.91,1,Pending,0
TCP,5.3,108.871,1,Pending,0
TCP,5.4,108.985,1,Pending,0
