FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3620,3368,8,7,1,0.190839,0.0272628,0.0197551
2,TCP,10.0.0.1,10.10.0.2,5000,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
3,TCP,10.10.1.2,10.0.0.1,49153,5001,4872,3368,9,7,2,0.191323,0.0273319,0.0124514
4,TCP,10.0.0.1,10.10.1.2,5001,49153,220,160,4,3,1,0.0810708,0.0270236,0.00115389
5,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3368,7,7,0,0.191764,0.0273948,0.0869984
6,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
7,UDP,10.12.6.2,10.0.0.1,49153,9999,241380,237600,447,440,5,11.9845,0.0272375,0.0639466
8,UDP,10.12.27.2,10.0.0.1,49153,9999,205740,200880,381,372,5,10.133,0.0272394,0.0540154
9,UDP,10.12.32.2,10.0.0.1,49153,9999,247320,240300,458,445,10,12.13,0.0272584,0.0651631
10,UDP,10.12.73.2,10.0.0.1,49153,9999,235440,230580,436,427,5,11.635,0.0272483,0.0635239
11,UDP,10.12.2.2,10.0.0.1,49153,9999,205740,197100,381,365,7,9.9456,0.0272482,0.0541774
12,UDP,10.12.42.2,10.0.0.1,49153,9999,181980,175500,337,325,8,8.85695,0.0272522,0.0472846
13,UDP,10.12.47.2,10.0.0.1,49153,9999,173340,167400,321,310,9,8.44601,0.0272452,0.0451313
14,UDP,10.12.4.2,10.0.0.1,49153,9999,170640,164160,316,304,10,8.2843,0.027251,0.0456325
15,UDP,10.12.49.2,10.0.0.1,49153,9999,173880,166860,322,309,10,8.42449,0.0272637,0.0449691
16,UDP,10.12.83.2,10.0.0.1,49153,9999,179280,174960,332,324,4,8.82625,0.0272415,0.0472407
17,UDP,10.12.63.2,10.0.0.1,49153,9999,194940,187920,361,348,10,9.48557,0.0272574,0.0506678
18,UDP,10.12.39.2,10.0.0.1,49153,9999,209520,205200,388,380,6,10.3554,0.0272511,0.055825
19,UDP,10.12.1.2,10.0.0.1,49153,9999,215460,208440,399,386,10,10.5188,0.0272508,0.0563608
20,TCP,10.10.3.2,10.0.0.1,49153,5003,3368,3368,7,7,0,0.191783,0.0273976,0.0869984
21,UDP,10.12.59.2,10.0.0.1,49153,9999,192780,185220,357,343,11,9.34459,0.0272437,0.0499499
22,UDP,10.12.54.2,10.0.0.1,49153,9999,164160,162000,304,300,3,8.17386,0.0272462,0.0437215
23,TCP,10.0.0.1,10.10.3.2,5003,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
24,UDP,10.12.71.2,10.0.0.1,49153,9999,201420,194940,373,361,10,9.83271,0.0272374,0.0525979
25,UDP,10.12.72.2,10.0.0.1,49153,9999,196020,189540,363,351,7,9.56265,0.027244,0.0511369
26,UDP,10.12.55.2,10.0.0.1,49153,9999,176040,168480,326,312,10,8.49821,0.0272379,0.0454537
27,UDP,10.12.77.2,10.0.0.1,49153,9999,167400,159840,310,296,5,8.06371,0.0272422,0.0431432
28,UDP,10.12.43.2,10.0.0.1,49153,9999,197640,190080,366,352,12,9.58848,0.02724,0.0513441
29,UDP,10.12.33.2,10.0.0.1,49153,9999,225180,217080,417,402,11,10.9521,0.0272441,0.0586661
30,UDP,10.12.89.2,10.0.0.1,49153,9999,216000,206280,400,382,13,10.4054,0.0272393,0.0577299
31,UDP,10.12.97.2,10.0.0.1,49153,9999,249480,239220,462,443,13,12.073,0.0272529,0.0646494
32,UDP,10.12.98.2,10.0.0.1,49153,9999,216000,209520,400,388,6,10.5699,0.027242,0.0578669
33,UDP,10.12.62.2,10.0.0.1,49153,9999,177660,171720,329,318,8,8.66393,0.0272451,0.0464087
34,UDP,10.12.16.2,10.0.0.1,49153,9999,189540,185760,351,344,5,9.37633,0.0272568,0.0501954
35,UDP,10.12.61.2,10.0.0.1,49153,9999,190620,185760,353,344,6,9.37606,0.027256,0.0538627
36,UDP,10.12.70.2,10.0.0.1,49153,9999,142020,138240,263,256,5,6.97489,0.0272457,0.0386307
