Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.55457,55.4386,1,,0
QUIC,2.05457,55.2941,1,,0
QUIC,2.55457,55.2941,1,,0
QUIC,4.05457,56.5831,1,,0
QUIC,4.55493,55.2941,1,,0
QUIC,5.05457,55.2941,1,,0
QUIC,5.55457,55.2941,1,,0
QUIC,6.05457,55.1178,1,,0
QUIC,6.55457,55.2941,1,,0
QUIC,7.55457,65.3769,1,,0
QUIC,8.05457,54.9732,1,,0
QUIC,9.05467,55.2941,1,,0
QUIC,9.55457,54.9732,1,,0
QUIC,10.0547,55.5274,1,,0
QUIC,10.5546,55.4386,1,,0
QUIC,11.0547,64.6627,1,,0
QUIC,12.5546,55.3437,1,,0
QUIC,14.0546,64.6627,1,,0
QUIC,14.5546,74.6644,1,,0
QUIC,15.0546,80.6954,1,,0
QUIC,16.0546,55.2941,1,,0
QUIC,17.0546,55.2941,1,,0
QUIC,18.5546,55.2941,1,,0
QUIC,19.0546,80.6963,1,,0
QUIC,20.5547,55.2941,1,,0
QUIC,21.0547,55.5767,1,,0
QUIC,23.0546,55.2941,1,,0
QUIC,13.0547,-1,0,Timeout,0
QUIC,17.555,-1,0,NoShortPacket,0
QUIC,20.0546,-1,0,NoShortPacket,0
