FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
2,UDP,10.12.6.2,10.0.0.1,49153,9999,241380,204120,447,378,56,10.2959,0.0272377,0.0549359
3,UDP,10.12.27.2,10.0.0.1,49153,9999,205740,174420,381,323,36,8.79834,0.0272394,0.0469005
4,UDP,10.12.32.2,10.0.0.1,49153,9999,247320,208440,458,386,55,10.5216,0.027258,0.0565235
5,UDP,10.12.73.2,10.0.0.1,49153,9999,235440,198720,436,368,55,10.0271,0.0272477,0.0547466
6,UDP,10.12.2.2,10.0.0.1,49153,9999,205740,172260,381,319,43,8.69245,0.0272491,0.0473496
7,UDP,10.12.42.2,10.0.0.1,49153,9999,181980,149580,337,277,42,7.54852,0.027251,0.040301
8,UDP,10.12.47.2,10.0.0.1,49153,9999,173340,150660,321,279,27,7.6013,0.0272448,0.0406182
9,UDP,10.12.4.2,10.0.0.1,49153,9999,170640,147420,316,273,29,7.4392,0.0272498,0.0409792
10,UDP,10.12.49.2,10.0.0.1,49153,9999,173880,148500,322,275,34,7.49797,0.0272653,0.0400211
11,UDP,10.12.83.2,10.0.0.1,49153,9999,179280,154440,332,286,31,7.79084,0.0272407,0.0417001
12,UDP,10.12.63.2,10.0.0.1,49153,9999,194940,161460,361,299,36,8.1504,0.0272589,0.0435335
13,UDP,10.12.39.2,10.0.0.1,49153,9999,209520,186300,388,345,38,9.40191,0.0272519,0.0506832
14,UDP,10.12.1.2,10.0.0.1,49153,9999,215460,174960,399,324,48,8.82904,0.0272501,0.047308
15,UDP,10.12.59.2,10.0.0.1,49153,9999,192780,167400,357,310,41,8.44585,0.0272447,0.0451442
16,UDP,10.12.54.2,10.0.0.1,49153,9999,164160,135540,304,251,43,6.83888,0.0272465,0.0365803
17,UDP,10.12.71.2,10.0.0.1,49153,9999,201420,179820,373,333,24,9.07034,0.0272383,0.0485183
18,UDP,10.12.72.2,10.0.0.1,49153,9999,196020,164700,363,305,43,8.30922,0.0272434,0.0444352
19,UDP,10.12.55.2,10.0.0.1,49153,9999,176040,146340,326,271,36,7.38134,0.0272374,0.0394806
20,UDP,10.12.77.2,10.0.0.1,49153,9999,167400,139860,310,259,27,7.05578,0.0272424,0.0377503
21,UDP,10.12.43.2,10.0.0.1,49153,9999,197640,165240,366,306,39,8.33559,0.0272405,0.0446343
22,UDP,10.12.33.2,10.0.0.1,49153,9999,225180,188460,417,349,41,9.50821,0.0272442,0.0509315
23,UDP,10.12.89.2,10.0.0.1,49153,9999,216000,184680,400,342,48,9.31602,0.0272398,0.0516849
24,UDP,10.12.97.2,10.0.0.1,49153,9999,249480,212220,462,393,51,10.7093,0.0272501,0.0573526
25,UDP,10.12.98.2,10.0.0.1,49153,9999,216000,182520,400,338,49,9.20779,0.027242,0.0504098
26,UDP,10.12.62.2,10.0.0.1,49153,9999,177660,149040,329,276,43,7.51895,0.0272426,0.0402793
27,UDP,10.12.16.2,10.0.0.1,49153,9999,189540,159300,351,295,41,8.04058,0.0272562,0.0430455
28,UDP,10.12.61.2,10.0.0.1,49153,9999,190620,162540,353,301,35,8.2041,0.0272562,0.0471299
29,UDP,10.12.70.2,10.0.0.1,49153,9999,142020,119340,263,221,33,6.02066,0.0272428,0.0333492
30,UDP,10.12.84.2,10.0.0.1,49153,9999,191160,162540,354,301,46,8.20172,0.0272482,0.0439804
31,UDP,10.12.67.2,10.0.0.1,49153,9999,234900,200880,435,372,42,10.1353,0.0272454,0.0554208
32,UDP,10.12.36.2,10.0.0.1,49153,9999,179820,151740,333,281,40,7.65288,0.0272345,0.0421296
33,UDP,10.12.74.2,10.0.0.1,49153,9999,131760,110160,244,204,34,5.55847,0.0272474,0.0300936
34,UDP,10.12.64.2,10.0.0.1,49153,9999,188460,163620,349,303,28,8.25762,0.0272529,0.0455065
35,UDP,10.12.80.2,10.0.0.1,49153,9999,160380,135540,297,251,33,6.8426,0.0272614,0.0367196
36,UDP,10.12.24.2,10.0.0.1,49153,9999,180900,154440,335,286,31,7.79041,0.0272392,0.0420468
37,UDP,10.12.81.2,10.0.0.1,49153,9999,222480,184680,412,342,46,9.31843,0.0272469,0.0500522
38,UDP,10.12.50.2,10.0.0.1,49153,9999,245700,206820,455,383,47,10.4352,0.0272459,0.0560171
39,UDP,10.12.20.2,10.0.0.1,49153,9999,188460,158220,349,293,39,7.98463,0.0272513,0.042888
40,UDP,10.12.94.2,10.0.0.1,49153,9999,183060,153360,339,284,47,7.73738,0.0272443,0.0415478
