Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.05457,55.2941,1,,0
QUIC,1.55475,55.2941,1,,0
QUIC,2.05485,55.2941,1,,0
QUIC,2.55457,55.2943,1,,0
QUIC,3.05457,55.5696,1,,0
QUIC,3.55457,55.4771,1,,0
QUIC,4.05457,55.2941,1,,0
QUIC,4.55457,55.3761,1,,0
QUIC,5.05457,55.4386,1,,0
QUIC,5.55457,55.6234,1,,0
QUIC,6.05458,55.4667,1,,0
QUIC,6.55467,55.4386,1,,0
QUIC,7.05457,55.6703,1,,0
QUIC,7.55457,55.3132,1,,0
QUIC,8.05464,55.4365,1,,0
QUIC,8.55477,55.4116,1,,0
QUIC,9.0547,55.4386,1,,0
QUIC,9.55457,55.7198,1,,0
QUIC,10.0548,55.2941,1,,0
QUIC,10.5546,55.5058,1,,0
QUIC,11.0547,55.2941,1,,0
QUIC,11.5547,55.5831,1,,0
QUIC,12.0546,55.2941,1,,0
QUIC,12.5546,55.2941,1,,0
QUIC,13.0546,55.4386,1,,0
QUIC,13.5546,55.2941,1,,0
QUIC,14.0546,55.2941,1,,0
QUIC,14.5548,55.2941,1,,0
QUIC,15.0546,56.6672,1,,0
QUIC,15.5546,55.4267,1,,0
QUIC,16.0546,55.2941,1,,0
QUIC,16.5546,55.2941,1,,0
QUIC,17.0546,55.2941,1,,0
QUIC,17.5546,55.2941,1,,0
QUIC,18.0546,55.6501,1,,0
QUIC,18.5547,55.4386,1,,0
QUIC,19.0546,55.2941,1,,0
QUIC,19.5546,55.5095,1,,0
QUIC,20.0547,55.2941,1,,0
QUIC,20.5549,55.4075,1,,0
QUIC,21.0546,55.7277,1,,0
QUIC,21.5547,55.2941,1,,0
QUIC,22.0546,55.4361,1,,0
QUIC,22.5546,55.6053,1,,0
QUIC,23.0546,55.2941,1,,0
