FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3368,3368,7,7,0,0.191841,0.0274058,0.0869984
2,TCP,10.0.0.1,10.10.0.2,5000,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
3,TCP,10.10.1.2,10.0.0.1,49153,5001,3368,3368,7,7,0,0.191764,0.0273948,0.0869984
4,TCP,10.0.0.1,10.10.1.2,5001,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
5,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3368,7,7,0,0.191857,0.0274081,0.0869984
6,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
7,UDP,10.12.74.2,10.0.0.1,49153,9999,193860,193860,359,359,0,9.7809,0.0272449,0.0521553
8,UDP,10.12.75.2,10.0.0.1,49153,9999,261360,261360,484,484,0,13.1908,0.0272537,0.0709979
9,UDP,10.12.38.2,10.0.0.1,49153,9999,168480,168480,312,312,0,8.5011,0.0272471,0.0460424
10,UDP,10.12.55.2,10.0.0.1,49153,9999,214380,214380,397,397,0,10.8171,0.0272471,0.0582885
11,UDP,10.12.35.2,10.0.0.1,49153,9999,205200,205200,380,380,0,10.3538,0.0272469,0.0572748
12,UDP,10.12.66.2,10.0.0.1,49153,9999,200340,200340,371,371,0,10.1138,0.0272608,0.054088
13,UDP,10.12.95.2,10.0.0.1,49153,9999,154980,154980,287,287,0,7.81819,0.0272411,0.0417276
14,UDP,10.12.34.2,10.0.0.1,49153,9999,190080,190080,352,352,0,9.59637,0.0272624,0.0520177
15,UDP,10.12.67.2,10.0.0.1,49153,9999,185760,185760,344,344,0,9.37595,0.0272557,0.0500267
16,UDP,10.12.69.2,10.0.0.1,49153,9999,197100,197100,365,365,0,9.94591,0.0272491,0.0533056
17,UDP,10.12.12.2,10.0.0.1,49153,9999,213300,213300,395,395,0,10.7602,0.027241,0.0587667
18,UDP,10.12.81.2,10.0.0.1,49153,9999,154980,154980,287,287,0,7.81726,0.0272378,0.0421572
19,UDP,10.12.76.2,10.0.0.1,49153,9999,190620,190620,353,353,0,9.61981,0.0272516,0.0513538
20,UDP,10.12.40.2,10.0.0.1,49153,9999,135540,135540,251,251,0,6.83936,0.0272484,0.036782
21,TCP,10.10.3.2,10.0.0.1,49153,5003,3368,3368,7,7,0,0.191965,0.0274235,0.0869984
22,UDP,10.12.53.2,10.0.0.1,49153,9999,205740,205740,381,381,0,10.3802,0.0272446,0.0554717
23,UDP,10.12.2.2,10.0.0.1,49153,9999,178740,178740,331,331,0,9.0214,0.027255,0.0481648
24,UDP,10.12.5.2,10.0.0.1,49153,9999,170640,170640,316,316,0,8.61443,0.0272609,0.0463617
25,UDP,10.12.58.2,10.0.0.1,49153,9999,179280,179280,332,332,0,9.04302,0.027238,0.0489037
26,TCP,10.0.0.1,10.10.3.2,5003,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
27,UDP,10.12.51.2,10.0.0.1,49153,9999,205200,205200,380,380,0,10.352,0.0272422,0.0562315
28,UDP,10.12.79.2,10.0.0.1,49153,9999,183600,183600,340,340,0,9.263,0.0272441,0.0500345
29,UDP,10.12.57.2,10.0.0.1,49153,9999,178200,178200,330,330,0,8.9911,0.0272458,0.0490791
30,UDP,10.12.13.2,10.0.0.1,49153,9999,176580,176580,327,327,0,8.91105,0.0272509,0.0476404
31,UDP,10.12.63.2,10.0.0.1,49153,9999,177120,177120,328,328,0,8.93695,0.0272468,0.0478512
32,UDP,10.12.50.2,10.0.0.1,49153,9999,209520,209520,388,388,0,10.5694,0.0272408,0.058042
33,UDP,10.12.27.2,10.0.0.1,49153,9999,179280,179280,332,332,0,9.04568,0.027246,0.0500644
34,UDP,10.12.83.2,10.0.0.1,49153,9999,229500,229500,425,425,0,11.5773,0.0272408,0.0619504
35,UDP,10.12.85.2,10.0.0.1,49153,9999,254340,254340,471,471,0,12.8293,0.0272384,0.0687272
36,UDP,10.12.99.2,10.0.0.1,49153,9999,156600,156600,290,290,0,7.90102,0.0272449,0.0422896
37,UDP,10.12.23.2,10.0.0.1,49153,9999,218160,218160,404,404,0,11.0087,0.0272492,0.0589607
38,UDP,10.12.31.2,10.0.0.1,49153,9999,198180,198180,367,367,0,10.0023,0.0272543,0.0543965
39,UDP,10.12.54.2,10.0.0.1,49153,9999,179820,179820,333,333,0,9.07411,0.0272496,0.048628
40,TCP,10.10.4.2,10.0.0.1,49153,5004,3368,3368,7,7,0,0.191798,0.0273997,0.0869984
41,UDP,10.12.80.2,10.0.0.1,49153,9999,221940,221940,411,411,0,11.1979,0.0272456,0.0610552
42,UDP,10.12.7.2,10.0.0.1,49153,9999,215460,215460,399,399,0,10.8704,0.0272441,0.0601387
43,TCP,10.0.0.1,10.10.4.2,5004,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
44,UDP,10.12.22.2,10.0.0.1,49153,9999,174420,174420,323,323,0,8.79826,0.0272392,0.0500292
45,UDP,10.12.78.2,10.0.0.1,49153,9999,199260,199260,369,369,0,10.0584,0.0272587,0.0540287
46,UDP,10.12.39.2,10.0.0.1,49153,9999,174420,174420,323,323,0,8.80143,0.027249,0.0472856
47,UDP,10.12.98.2,10.0.0.1,49153,9999,224640,224640,416,416,0,11.3339,0.027245,0.0609183
48,UDP,10.12.43.2,10.0.0.1,49153,9999,196020,196020,363,363,0,9.88761,0.0272386,0.0531531
49,UDP,10.12.77.2,10.0.0.1,49153,9999,167940,167940,311,311,0,8.47532,0.0272518,0.0455515
50,UDP,10.12.32.2,10.0.0.1,49153,9999,203040,203040,376,376,0,10.2426,0.0272409,0.0562844
51,UDP,10.12.68.2,10.0.0.1,49153,9999,204120,204120,378,378,0,10.3001,0.0272489,0.0558613
52,UDP,10.12.6.2,10.0.0.1,49153,9999,196020,196020,363,363,0,9.89361,0.0272551,0.0531619
53,UDP,10.12.89.2,10.0.0.1,49153,9999,195480,195480,362,362,0,9.85979,0.027237,0.0529901
54,UDP,10.12.61.2,10.0.0.1,49153,9999,179820,179820,333,333,0,9.06984,0.0272367,0.0487722
55,UDP,10.12.0.2,10.0.0.1,49153,9999,205200,205200,380,380,0,10.3524,0.0272432,0.0557047
56,TCP,10.10.5.2,10.0.0.1,49153,5005,3368,3368,7,7,0,0.191981,0.0274258,0.0869984
57,UDP,10.12.8.2,10.0.0.1,49153,9999,189000,189000,350,350,0,9.53907,0.0272545,0.0520193
58,UDP,10.12.18.2,10.0.0.1,49153,9999,232200,232200,430,430,0,11.7118,0.0272367,0.0630366
59,TCP,10.0.0.1,10.10.5.2,5005,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
60,UDP,10.12.59.2,10.0.0.1,49153,9999,208980,208980,387,387,0,10.5467,0.0272524,0.0567812
61,UDP,10.12.15.2,10.0.0.1,49153,9999,139320,139320,258,258,0,7.02871,0.0272431,0.0379127
62,UDP,10.12.45.2,10.0.0.1,49153,9999,235980,235980,437,437,0,11.9024,0.0272367,0.0645572
63,UDP,10.12.73.2,10.0.0.1,49153,9999,187920,187920,348,348,0,9.48092,0.027244,0.0522731
64,UDP,10.12.97.2,10.0.0.1,49153,9999,211140,211140,391,391,0,10.6517,0.0272423,0.0574692
65,UDP,10.12.9.2,10.0.0.1,49153,9999,179280,179280,332,332,0,9.05024,0.0272598,0.0487975
66,UDP,10.12.93.2,10.0.0.1,49153,9999,185220,185220,343,343,0,9.34404,0.0272421,0.0503966
67,UDP,10.12.1.2,10.0.0.1,49153,9999,191160,191160,354,354,0,9.6437,0.0272421,0.0527714
68,UDP,10.12.52.2,10.0.0.1,49153,9999,213840,213840,396,396,0,10.7875,0.0272412,0.0582018
69,TCP,10.10.6.2,10.0.0.1,49153,5006,3368,3368,7,7,0,0.19202,0.0274315,0.0869921
70,UDP,10.12.48.2,10.0.0.1,49153,9999,220320,220320,408,408,0,11.1207,0.0272567,0.0609795
71,UDP,10.12.33.2,10.0.0.1,49153,9999,224100,224100,415,415,0,11.3077,0.0272474,0.0610572
72,UDP,10.12.88.2,10.0.0.1,49153,9999,199260,199260,369,369,0,10.0571,0.0272551,0.0543117
73,UDP,10.12.41.2,10.0.0.1,49153,9999,151740,151740,281,281,0,7.65531,0.0272431,0.0417212
74,UDP,10.12.29.2,10.0.0.1,49153,9999,204120,204120,378,378,0,10.3015,0.0272528,0.0556339
75,TCP,10.0.0.1,10.10.6.2,5006,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158034
76,UDP,10.12.90.2,10.0.0.1,49153,9999,167940,167940,311,311,0,8.47328,0.0272453,0.046103
77,UDP,10.12.37.2,10.0.0.1,49153,9999,193860,193860,359,359,0,9.78428,0.0272543,0.0529056
78,UDP,10.12.46.2,10.0.0.1,49153,9999,188460,188460,349,349,0,9.51239,0.0272561,0.0518357
79,UDP,10.12.47.2,10.0.0.1,49153,9999,189540,189540,351,351,0,9.56303,0.0272451,0.0538875
80,TCP,10.10.7.2,10.0.0.1,49153,5007,3368,3368,7,7,0,0.191794,0.0273992,0.0869868
81,TCP,10.0.0.1,10.10.7.2,5007,49153,108,108,2,2,0,0.0540586,0.0270293,0.0158067
82,UDP,10.12.11.2,10.0.0.1,49153,9999,200880,200880,372,372,0,10.1377,0.0272518,0.0562774
83,UDP,10.12.14.2,10.0.0.1,49153,9999,166320,166320,308,308,0,8.39592,0.0272595,0.0479582
84,UDP,10.12.25.2,10.0.0.1,49153,9999,202500,202500,375,375,0,10.2156,0.0272417,0.0554339
85,UDP,10.12.84.2,10.0.0.1,49153,9999,165240,165240,306,306,0,8.33734,0.0272462,0.0452636
86,UDP,10.12.10.2,10.0.0.1,49153,9999,183600,183600,340,340,0,9.26231,0.0272421,0.0511612
87,UDP,10.12.17.2,10.0.0.1,49153,9999,217620,217620,403,403,0,10.9783,0.0272415,0.05963
88,TCP,10.10.8.2,10.0.0.1,49153,5008,3368,3368,7,7,0,0.192155,0.0274508,0.086959
89,UDP,10.12.91.2,10.0.0.1,49153,9999,182520,182520,338,338,0,9.20701,0.0272397,0.0522333
90,TCP,10.0.0.1,10.10.8.2,5008,49153,108,108,2,2,0,0.0540478,0.0270239,0.0158099
91,UDP,10.12.21.2,10.0.0.1,49153,9999,231120,231120,428,428,0,11.6643,0.0272531,0.0634275
92,UDP,10.12.36.2,10.0.0.1,49153,9999,170640,170640,316,316,0,8.60784,0.02724,0.0470777
