Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,1166.69,1,Pending,0
TCP,1.1,1166.63,1,Pending,0
TCP,1.2,112.317,1,Pending,0
TCP,1.3,3166.6,1,Pending,0
TCP,1.4,112.358,1,Pending,0
TCP,1.5,1111.07,1,Pending,0
TCP,1.6,112.429,1,Pending,0
TCP,1.7,112.317,1,Pending,0
TCP,1.8,112.322,1,Pending,0
TCP,1.9,112.335,1,Pending,0
TCP,2,112.329,1,Pending,0
TCP,2.1,112.317,1,Pending,0
TCP,2.2,112.375,1,Pending,0
TCP,2.3,112.333,1,Pending,0
TCP,2.4,112.317,1,Pending,0
TCP,2.5,112.317,1,Pending,0
TCP,2.6,112.46,1,Pending,0
TCP,2.7,3112.32,1,Pending,0
TCP,2.8,112.408,1,Pending,0
TCP,2.9,112.364,1,Pending,0
TCP,3,1166.6,1,Pending,0
TCP,3.1,112.376,1,Pending,0
TCP,3.2,1111.07,1,Pending,0
TCP,3.3,1110.95,1,Pending,0
TCP,3.4,112.334,1,Pending,0
TCP,3.5,112.352,1,Pending,0
TCP,3.6,112.376,1,Pending,0
TCP,3.7,1166.51,1,Pending,0
TCP,3.8,112.349,1,Pending,0
TCP,3.9,1166.41,1,Pending,0
TCP,4,112.421,1,Pending,0
TCP,4.1,112.369,1,Pending,0
TCP,4.2,112.317,1,Pending,0
TCP,4.3,112.433,1,Pending,0
TCP,4.4,112.4,1,Pending,0
TCP,4.5,112.376,1,Pending,0
TCP,4.6,112.319,1,Pending,0
TCP,4.7,112.409,1,Pending,0
TCP,4.8,112.367,1,Pending,0
TCP,4.9,112.404,1,Pending,0
TCP,5,112.317,1,Pending,0
TCP,5.1,1110.96,1,Pending,0
TCP,5.2,112.317,1,Pending,0
TCP,5.3,1166.48,1,Pending,0
TCP,5.4,1111,1,Pending,0
