FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3620,3368,8,7,1,0.193563,0.0276519,0.0197161
2,TCP,10.0.0.1,10.10.0.2,5000,49153,108,108,2,2,0,0.0541075,0.0270538,0.015569
3,TCP,10.10.1.2,10.0.0.1,49153,5001,4820,3368,8,7,1,0.194782,0.027826,0.0230961
4,TCP,10.0.0.1,10.10.1.2,5001,49153,220,160,4,3,1,0.0811594,0.0270531,0.00115217
5,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3368,7,7,0,0.195875,0.0279821,0.0862713
6,UDP,10.12.115.2,10.0.0.1,49153,9999,432540,419580,801,777,16,21.386,0.0275238,0.115722
7,UDP,10.12.51.2,10.0.0.1,49153,9999,412020,400680,763,742,15,20.4236,0.027525,0.110995
8,UDP,10.12.162.2,10.0.0.1,49153,9999,426600,413100,790,765,16,21.0647,0.0275356,0.112967
9,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0541075,0.0270538,0.015569
10,UDP,10.12.235.2,10.0.0.1,49153,9999,409320,401760,758,744,9,20.4839,0.0275321,0.109901
11,UDP,10.12.179.2,10.0.0.1,49153,9999,368820,358560,683,664,11,18.2774,0.0275262,0.102032
12,UDP,10.12.13.2,10.0.0.1,49153,9999,356940,341280,661,632,17,17.4006,0.0275326,0.0966929
13,UDP,10.12.121.2,10.0.0.1,49153,9999,399060,389340,739,721,8,19.8456,0.0275251,0.106522
14,UDP,10.12.67.2,10.0.0.1,49153,9999,375840,360720,696,668,22,18.3885,0.0275277,0.100169
15,UDP,10.12.156.2,10.0.0.1,49153,9999,399060,389880,739,722,12,19.8744,0.0275268,0.104856
16,UDP,10.12.87.2,10.0.0.1,49153,9999,511380,495720,947,918,24,25.2695,0.0275267,0.134234
17,UDP,10.12.238.2,10.0.0.1,49153,9999,380700,373140,705,691,12,19.0215,0.0275275,0.100365
