Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.5553,57.4454,1,,0
QUIC,2.5553,57.4454,1,,0
QUIC,3.05526,56.4978,1,,0
QUIC,3.55532,57.4454,1,,0
QUIC,4.0553,57.4732,1,,0
QUIC,4.5553,57.4834,1,,0
QUIC,5.0553,65.4878,1,,0
QUIC,6.05533,57.4454,1,,0
QUIC,7.5553,57.4454,1,,0
QUIC,8.05532,57.4454,1,,0
QUIC,9.0553,57.4886,1,,0
QUIC,9.5553,57.4454,1,,0
QUIC,10.5553,57.4454,1,,0
QUIC,11.0553,56.519,1,,0
QUIC,11.5553,57.4454,1,,0
QUIC,12.0553,75.4999,1,,0
QUIC,7.0553,-1,0,Timeout,0
QUIC,12.5553,-1,0,Timeout,0
QUIC,13.0554,-1,0,Timeout,0
QUIC,18.5553,57.4454,1,,0
QUIC,13.5553,-1,0,Timeout,0
QUIC,19.0554,57.4454,1,,0
QUIC,14.0553,-1,0,Timeout,0
QUIC,19.5553,57.4702,1,,0
QUIC,20.5553,83.6504,1,,0
QUIC,16.0553,-1,0,Timeout,0
QUIC,22.0553,56.5047,1,,0
QUIC,17.0553,-1,0,Timeout,0
QUIC,22.5553,56.4846,1,,0
QUIC,23.0553,83.6523,1,,0
QUIC,21.5553,-1,0,Timeout,0
