FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
2,UDP,10.12.22.2,10.0.0.1,49153,9999,3141720,2684340,5818,4971,479,136.855,0.0275307,0.725176
3,UDP,10.12.6.2,10.0.0.1,49153,9999,2410560,2058480,4464,3812,467,104.963,0.0275348,0.553055
4,UDP,10.12.1.2,10.0.0.1,49153,9999,2946240,2519100,5456,4665,650,128.43,0.0275305,0.676843
5,UDP,10.12.4.2,10.0.0.1,49153,9999,3559140,3043440,6591,5636,697,155.157,0.0275297,0.819127
6,UDP,10.12.5.2,10.0.0.1,49153,9999,2549880,2130840,4722,3946,615,108.617,0.0275258,0.595393
7,UDP,10.12.16.2,10.0.0.1,49153,9999,3581820,3021840,6633,5596,744,154.07,0.0275322,0.821485
8,UDP,10.12.17.2,10.0.0.1,49153,9999,3409020,2895480,6313,5362,635,147.588,0.0275249,0.780239
9,UDP,10.12.9.2,10.0.0.1,49153,9999,3585600,3059640,6640,5666,678,155.974,0.0275281,0.833356
10,UDP,10.12.18.2,10.0.0.1,49153,9999,3015360,2589840,5584,4796,578,132.005,0.0275239,0.722595
11,UDP,10.12.29.2,10.0.0.1,49153,9999,3416040,2914380,6326,5397,692,148.576,0.0275294,0.843925
12,UDP,10.12.10.2,10.0.0.1,49153,9999,3403620,2886840,6303,5346,652,147.15,0.0275252,0.780538
13,UDP,10.12.12.2,10.0.0.1,49153,9999,3945240,3348540,7306,6201,755,170.718,0.0275308,0.908108
14,UDP,10.12.20.2,10.0.0.1,49153,9999,3686040,3128220,6826,5793,747,159.494,0.0275323,0.848
15,UDP,10.12.26.2,10.0.0.1,49153,9999,2535840,2152440,4696,3986,498,109.735,0.0275302,0.583539
16,UDP,10.11.1.2,10.0.0.1,49153,8000,9768,7006,7,5,2,0.146929,0.0293858,0.743913
17,UDP,10.12.13.2,10.0.0.1,49153,9999,2977560,2540160,5514,4704,565,129.497,0.0275292,0.706305
18,UDP,10.0.0.1,10.11.1.2,49153,49153,107,107,2,2,0,0.0541549,0.0270774,856000
19,UDP,10.12.0.2,10.0.0.1,49153,9999,4003560,3409020,7414,6313,787,173.761,0.0275244,0.931031
20,UDP,10.12.11.2,10.0.0.1,49153,9999,3270240,2759400,6056,5110,623,140.689,0.027532,0.752608
21,UDP,10.12.14.2,10.0.0.1,49153,9999,2771820,2328480,5133,4312,608,118.723,0.0275333,0.634611
22,UDP,10.12.27.2,10.0.0.1,49153,9999,3852360,3251340,7134,6021,874,165.744,0.0275276,0.889163
23,UDP,10.12.15.2,10.0.0.1,49153,9999,3208140,2757240,5941,5106,610,140.586,0.0275335,0.756942
24,UDP,10.12.23.2,10.0.0.1,49153,9999,3108780,2654640,5757,4916,620,135.321,0.0275266,0.731326
25,UDP,10.12.7.2,10.0.0.1,49153,9999,3626640,3073140,6716,5691,646,156.685,0.0275321,0.857452
26,UDP,10.12.2.2,10.0.0.1,49153,9999,3208680,2746440,5942,5086,568,140.013,0.0275291,0.757437
27,UDP,10.11.2.2,10.0.0.1,49153,8000,2500,1249,2,1,1,0.028201,0.028201,0.180826
28,UDP,10.0.0.1,10.11.2.2,49154,49153,107,57,2,1,1,0.0270566,0.0270566,456000
29,UDP,10.12.21.2,10.0.0.1,49153,9999,3706560,3134160,6864,5804,692,159.817,0.0275357,0.877352
30,UDP,10.12.25.2,10.0.0.1,49153,9999,3022380,2567160,5597,4754,623,130.874,0.0275292,0.711702
31,UDP,10.12.3.2,10.0.0.1,49153,9999,2425680,2081700,4492,3855,393,106.132,0.027531,0.590114
32,UDP,10.12.28.2,10.0.0.1,49153,9999,3052080,2584980,5652,4787,560,131.786,0.0275299,0.727459
33,UDP,10.12.24.2,10.0.0.1,49153,9999,3602340,3076380,6671,5697,643,156.839,0.02753,0.862471
34,UDP,10.11.3.2,10.0.0.1,49153,8000,9768,5495,7,4,3,0.118438,0.0296095,0.583804
35,UDP,10.0.0.1,10.11.3.2,49155,49153,107,107,2,2,0,0.0541549,0.0270774,856000
36,UDP,10.11.4.2,10.0.0.1,49153,8000,43178,32574,30,23,7,0.659647,0.0286803,0.380811
37,UDP,10.0.0.1,10.11.4.2,49156,49153,851,808,17,16,1,0.432855,0.0270534,0.00912706
38,UDP,10.12.19.2,10.0.0.1,49153,9999,2589840,2199420,4796,4073,404,112.119,0.0275275,0.635436
39,UDP,10.12.8.2,10.0.0.1,49153,9999,2707020,2334960,5013,4324,419,119.059,0.0275345,0.673983
40,UDP,10.11.5.2,10.0.0.1,49153,8000,37025,21932,24,16,8,0.459368,0.0287105,0.369185
41,UDP,10.0.0.1,10.11.5.2,49157,49153,588,486,12,10,2,0.270537,0.0270537,0.00776761
42,UDP,10.11.6.2,10.0.0.1,49153,8000,35491,24953,24,18,6,0.514362,0.0285756,0.445706
43,UDP,10.0.0.1,10.11.6.2,49158,49153,543,543,11,11,0,0.297597,0.0270542,0.00937973
44,UDP,10.11.7.2,10.0.0.1,49153,8000,32562,23422,23,16,7,0.460573,0.0287858,0.257831
45,UDP,10.0.0.1,10.11.7.2,49159,49153,543,441,11,9,2,0.243489,0.0270543,0.00481977
46,UDP,10.11.8.2,10.0.0.1,49153,8000,2500,2500,2,2,0,0.0564454,0.0282227,0.361941
47,UDP,10.0.0.1,10.11.8.2,49160,49153,107,57,2,1,1,0.0270566,0.0270566,456000
48,UDP,10.11.9.2,10.0.0.1,49153,8000,22437301,373385,1106,422,14902,20.8224,0.0493421,0.471416
49,UDP,10.0.0.1,10.11.9.2,49161,49153,24294725,914280,4564,1176,15720,256.424,0.218047,1.15438
50,UDP,10.11.10.2,10.0.0.1,49153,8000,2500,2500,2,2,0,0.0564312,0.0282156,0.361941
51,UDP,10.0.0.1,10.11.10.2,49162,49153,107,57,2,1,1,0.0270566,0.0270566,456000
52,UDP,10.11.11.2,10.0.0.1,49153,8000,34034,23444,24,17,7,0.487632,0.0286842,0.444119
53,UDP,10.0.0.1,10.11.11.2,49163,49153,533,533,11,11,0,0.297581,0.0270528,0.01066
54,UDP,10.11.12.2,10.0.0.1,49153,8000,2500,1249,2,1,1,0.028201,0.028201,0.180826
55,UDP,10.0.0.1,10.11.12.2,49164,49153,107,57,2,1,1,0.0270566,0.0270566,456000
56,UDP,10.11.13.2,10.0.0.1,49153,8000,43057,32446,30,22,8,0.632646,0.0287566,0.41257
57,UDP,10.0.0.1,10.11.13.2,49165,49153,857,649,16,13,3,0.353809,0.0272161,0.00818373
58,UDP,10.11.14.2,10.0.0.1,49153,8000,9763,5495,7,4,3,0.118415,0.0296037,0.583757
59,UDP,10.0.0.1,10.11.14.2,49166,49153,107,107,2,2,0,0.0541549,0.0270774,856000
60,UDP,10.11.15.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
61,UDP,10.11.16.2,10.0.0.1,49153,8000,2500,2500,2,2,0,0.0564038,0.0282019,0.361941
62,UDP,10.0.0.1,10.11.16.2,49167,49153,107,57,2,1,1,0.0270566,0.0270566,456000
63,UDP,10.11.17.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
64,UDP,10.11.18.2,10.0.0.1,49153,8000,2500,1249,2,1,1,0.0282335,0.0282335,0.165813
65,UDP,10.0.0.1,10.11.18.2,49168,49153,107,57,2,1,1,0.032027,0.032027,456000
66,UDP,10.11.19.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
