Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.0553,57.4454,1,,0
QUIC,1.55534,57.4463,1,,0
QUIC,2.0553,57.4454,1,,0
QUIC,2.5553,57.4751,1,,0
QUIC,3.05533,57.4454,1,,0
QUIC,3.5553,57.4454,1,,0
QUIC,4.0553,57.4454,1,,0
QUIC,4.5553,57.4454,1,,0
QUIC,5.0553,57.4645,1,,0
QUIC,5.5553,57.4454,1,,0
QUIC,6.0553,57.4454,1,,0
QUIC,6.5553,57.4454,1,,0
QUIC,7.0553,57.4626,1,,0
QUIC,7.5553,57.4454,1,,0
QUIC,8.05531,57.4454,1,,0
QUIC,8.5553,57.4646,1,,0
QUIC,9.0553,57.4454,1,,0
QUIC,9.55532,57.4454,1,,0
QUIC,10.0553,57.4454,1,,0
QUIC,10.5553,57.4559,1,,0
QUIC,11.0553,57.4454,1,,0
QUIC,11.5553,57.4454,1,,0
QUIC,12.0553,57.4767,1,,0
QUIC,12.5553,57.4454,1,,0
QUIC,13.0553,57.4454,1,,0
QUIC,13.5553,57.4454,1,,0
QUIC,14.0553,57.4454,1,,0
QUIC,14.5553,57.4454,1,,0
QUIC,15.0553,57.4454,1,,0
QUIC,15.5553,57.5138,1,,0
QUIC,16.0553,57.4454,1,,0
QUIC,16.5553,57.4454,1,,0
QUIC,17.0553,57.4715,1,,0
QUIC,17.5553,57.4454,1,,0
QUIC,18.0553,57.477,1,,0
QUIC,18.5553,57.4454,1,,0
QUIC,19.0553,57.4727,1,,0
QUIC,19.5553,57.4454,1,,0
QUIC,20.0553,57.4503,1,,0
QUIC,20.5553,57.4454,1,,0
QUIC,21.0553,57.4454,1,,0
QUIC,21.5553,57.4454,1,,0
QUIC,22.0553,57.4454,1,,0
QUIC,22.5553,57.4454,1,,0
QUIC,23.0553,57.4454,1,,0
