FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,297098,297098,228,228,0,6.5049,0.0285302,1.09027
2,UDP,10.0.0.1,10.11.0.2,49153,49153,5347,5347,119,119,0,3.21863,0.0270473,0.0194097
3,UDP,10.12.22.2,10.0.0.1,49153,9999,3141720,3141720,5818,5818,0,160.23,0.0275404,0.848737
4,UDP,10.12.6.2,10.0.0.1,49153,9999,2410560,2410560,4464,4464,0,122.964,0.0275457,0.647648
5,UDP,10.12.1.2,10.0.0.1,49153,9999,2946240,2946240,5456,5456,0,150.272,0.0275426,0.791609
6,UDP,10.12.4.2,10.0.0.1,49153,9999,3559140,3559140,6591,6591,0,181.528,0.0275417,0.957925
7,UDP,10.12.5.2,10.0.0.1,49153,9999,2549880,2549880,4722,4722,0,130.036,0.0275384,0.71248
8,UDP,10.12.16.2,10.0.0.1,49153,9999,3581820,3581820,6633,6633,0,182.707,0.0275452,0.973716
9,UDP,10.12.17.2,10.0.0.1,49153,9999,3409020,3409020,6313,6313,0,173.833,0.0275357,0.918621
10,UDP,10.12.9.2,10.0.0.1,49153,9999,3585600,3585600,6640,6640,0,182.858,0.0275388,0.976612
11,UDP,10.12.18.2,10.0.0.1,49153,9999,3015360,3015360,5584,5584,0,153.76,0.0275357,0.84132
12,UDP,10.12.29.2,10.0.0.1,49153,9999,3416040,3416040,6326,6326,0,174.219,0.0275402,0.989191
13,UDP,10.12.10.2,10.0.0.1,49153,9999,3403620,3403620,6303,6303,0,173.57,0.0275377,0.920265
14,UDP,10.12.12.2,10.0.0.1,49153,9999,3945240,3945240,7306,7306,0,201.23,0.0275431,1.06993
15,UDP,10.12.20.2,10.0.0.1,49153,9999,3686040,3686040,6826,6826,0,188.023,0.0275451,0.999214
16,UDP,10.12.26.2,10.0.0.1,49153,9999,2535840,2535840,4696,4696,0,129.332,0.027541,0.68748
17,UDP,10.11.1.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48312,0.02856,1.1316
18,UDP,10.12.13.2,10.0.0.1,49153,9999,2977560,2977560,5514,5514,0,151.867,0.0275421,0.827926
19,UDP,10.0.0.1,10.11.1.2,49154,49153,5299,5299,118,118,0,3.19162,0.0270476,0.0199604
20,UDP,10.12.0.2,10.0.0.1,49153,9999,4003560,4003560,7414,7414,0,204.145,0.027535,1.09341
21,UDP,10.12.11.2,10.0.0.1,49153,9999,3270240,3270240,6056,6056,0,166.81,0.0275447,0.891937
22,UDP,10.12.14.2,10.0.0.1,49153,9999,2771820,2771820,5133,5133,0,141.387,0.0275447,0.75544
23,UDP,10.12.27.2,10.0.0.1,49153,9999,3852360,3852360,7134,7134,0,196.474,0.0275406,1.05353
24,UDP,10.12.15.2,10.0.0.1,49153,9999,3208140,3208140,5941,5941,0,163.647,0.0275453,0.880727
25,UDP,10.12.23.2,10.0.0.1,49153,9999,3108780,3108780,5757,5757,0,158.542,0.0275389,0.856437
26,UDP,10.12.7.2,10.0.0.1,49153,9999,3626640,3626640,6716,6716,0,184.977,0.0275428,1.01189
27,UDP,10.12.2.2,10.0.0.1,49153,9999,3208680,3208680,5942,5942,0,163.645,0.0275404,0.884917
28,UDP,10.11.2.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48531,0.0285696,1.13159
29,UDP,10.0.0.1,10.11.2.2,49155,49153,5296,5296,118,118,0,3.19157,0.0270472,0.0199487
30,UDP,10.12.21.2,10.0.0.1,49153,9999,3706560,3706560,6864,6864,0,189.078,0.0275463,1.03759
31,UDP,10.12.25.2,10.0.0.1,49153,9999,3022380,3022380,5597,5597,0,154.147,0.027541,0.837904
32,UDP,10.12.3.2,10.0.0.1,49153,9999,2425680,2425680,4492,4492,0,123.721,0.0275424,0.687625
33,UDP,10.12.28.2,10.0.0.1,49153,9999,3052080,3052080,5652,5652,0,155.657,0.0275402,0.858909
34,UDP,10.12.24.2,10.0.0.1,49153,9999,3602340,3602340,6671,6671,0,183.719,0.02754,1.00993
35,UDP,10.11.3.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48473,0.0285671,1.13159
36,UDP,10.0.0.1,10.11.3.2,49156,49153,5298,5298,118,118,0,3.19159,0.0270474,0.0199562
37,UDP,10.11.4.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48474,0.0285671,1.13159
38,UDP,10.0.0.1,10.11.4.2,49157,49153,5297,5297,118,118,0,3.19161,0.0270476,0.0199527
39,UDP,10.12.19.2,10.0.0.1,49153,9999,2589840,2589840,4796,4796,0,132.07,0.0275375,0.748233
40,UDP,10.12.8.2,10.0.0.1,49153,9999,2707020,2707020,5013,5013,0,138.084,0.0275452,0.781378
41,UDP,10.11.5.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48447,0.0285659,1.1316
42,UDP,10.0.0.1,10.11.5.2,49158,49153,5296,5296,118,118,0,3.19162,0.0270476,0.0199484
43,UDP,10.11.6.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48486,0.0285677,1.13159
44,UDP,10.0.0.1,10.11.6.2,49159,49153,5295,5295,118,118,0,3.19159,0.0270474,0.0199449
45,UDP,10.11.7.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48436,0.0285655,1.1316
46,UDP,10.0.0.1,10.11.7.2,49160,49153,5299,5299,118,118,0,3.1916,0.0270475,0.0199592
47,UDP,10.11.8.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48412,0.0285644,1.1316
48,UDP,10.0.0.1,10.11.8.2,49161,49153,5297,5297,118,118,0,3.19163,0.0270477,0.0199524
49,UDP,10.11.9.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48391,0.0285635,1.1316
50,UDP,10.0.0.1,10.11.9.2,49162,49153,5296,5296,118,118,0,3.19163,0.0270477,0.0199483
51,UDP,10.11.10.2,10.0.0.1,49153,8000,297098,297098,228,228,0,6.51136,0.0285586,1.09027
52,UDP,10.0.0.1,10.11.10.2,49163,49153,5350,5350,119,119,0,3.21862,0.0270472,0.0194205
53,UDP,10.11.11.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.4841,0.0285643,1.1316
54,UDP,10.0.0.1,10.11.11.2,49164,49153,5296,5296,118,118,0,3.19159,0.0270474,0.0199487
55,UDP,10.11.12.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48405,0.0285641,1.1316
56,UDP,10.0.0.1,10.11.12.2,49165,49153,5296,5296,118,118,0,3.19161,0.0270475,0.0199487
57,UDP,10.11.13.2,10.0.0.1,49153,8000,297095,297095,228,228,0,6.51177,0.0285604,1.09026
58,UDP,10.0.0.1,10.11.13.2,49166,49153,5346,5346,119,119,0,3.21867,0.0270476,0.019406
59,UDP,10.11.14.2,10.0.0.1,49153,8000,297122,297122,228,228,0,6.50505,0.0285309,1.09036
60,UDP,10.0.0.1,10.11.14.2,49167,49153,5343,5343,119,119,0,3.21863,0.0270473,0.0193952
61,UDP,10.11.15.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48457,0.0285664,1.1316
62,UDP,10.0.0.1,10.11.15.2,49168,49153,5300,5300,118,118,0,3.19158,0.0270473,0.0199632
63,UDP,10.11.16.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48507,0.0285686,1.13159
64,UDP,10.0.0.1,10.11.16.2,49169,49153,5298,5298,118,118,0,3.19158,0.0270473,0.019956
65,UDP,10.11.17.2,10.0.0.1,49153,8000,297098,297098,228,228,0,6.51208,0.0285618,1.09027
66,UDP,10.0.0.1,10.11.17.2,49170,49153,5345,5345,119,119,0,3.21863,0.0270473,0.0194025
67,UDP,10.11.18.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48418,0.0285647,1.1316
68,UDP,10.0.0.1,10.11.18.2,49171,49153,5295,5295,118,118,0,3.19152,0.0270468,0.0199445
69,UDP,10.11.19.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48523,0.0285693,1.1316
70,UDP,10.0.0.1,10.11.19.2,49172,49153,5297,5297,118,118,0,3.19162,0.0270476,0.0199524
71,UDP,10.11.20.2,10.0.0.1,49153,8000,297122,297122,228,228,0,6.50552,0.028533,1.09036
72,UDP,10.0.0.1,10.11.20.2,49173,49153,5346,5346,119,119,0,3.21864,0.0270474,0.019406
73,UDP,10.11.21.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.4855,0.0285705,1.13159
74,UDP,10.0.0.1,10.11.21.2,49174,49153,5297,5297,118,118,0,3.19159,0.0270473,0.0199528
75,UDP,10.11.22.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48535,0.0285698,1.1316
76,UDP,10.0.0.1,10.11.22.2,49175,49153,5295,5295,118,118,0,3.19159,0.0270474,0.0199443
77,UDP,10.11.23.2,10.0.0.1,49153,8000,297122,297122,228,228,0,6.50505,0.0285309,1.09036
78,UDP,10.0.0.1,10.11.23.2,49176,49153,5345,5345,119,119,0,3.21863,0.0270473,0.0194024
79,UDP,10.11.24.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.4845,0.0285661,1.1316
80,UDP,10.0.0.1,10.11.24.2,49177,49153,5296,5296,118,118,0,3.19162,0.0270476,0.0199488
81,UDP,10.11.25.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48411,0.0285644,1.1316
82,UDP,10.0.0.1,10.11.25.2,49178,49153,5295,5295,118,118,0,3.19158,0.0270473,0.0199449
83,UDP,10.11.26.2,10.0.0.1,49153,8000,297069,297069,227,227,0,6.47874,0.0285407,1.13169
84,UDP,10.0.0.1,10.11.26.2,49179,49153,5295,5295,118,118,0,3.19159,0.0270474,0.0199449
85,UDP,10.11.27.2,10.0.0.1,49153,8000,297069,297069,227,227,0,6.47874,0.0285407,1.13169
86,UDP,10.0.0.1,10.11.27.2,49180,49153,5296,5296,118,118,0,3.19158,0.0270473,0.019949
87,UDP,10.11.28.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48614,0.0285733,1.1316
88,UDP,10.0.0.1,10.11.28.2,49181,49153,5295,5295,118,118,0,3.1916,0.0270474,0.0199449
89,UDP,10.11.29.2,10.0.0.1,49153,8000,297069,297069,227,227,0,6.47987,0.0285457,1.13169
90,UDP,10.0.0.1,10.11.29.2,49182,49153,5296,5296,118,118,0,3.19159,0.0270474,0.0199477
91,UDP,10.11.30.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48524,0.0285693,1.1316
92,UDP,10.0.0.1,10.11.30.2,49183,49153,5297,5297,118,118,0,3.19161,0.0270476,0.0199523
93,UDP,10.11.31.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48507,0.0285686,1.1316
94,UDP,10.0.0.1,10.11.31.2,49184,49153,5296,5296,118,118,0,3.1916,0.0270474,0.0199487
95,UDP,10.11.32.2,10.0.0.1,49153,8000,297069,297069,227,227,0,6.47798,0.0285374,1.13169
96,UDP,10.0.0.1,10.11.32.2,49185,49153,5297,5297,118,118,0,3.19159,0.0270473,0.0199524
97,UDP,10.11.33.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48465,0.0285667,1.1316
98,UDP,10.0.0.1,10.11.33.2,49186,49153,5299,5299,118,118,0,3.19162,0.0270476,0.0199595
99,UDP,10.11.34.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48458,0.0285664,1.1316
100,UDP,10.0.0.1,10.11.34.2,49187,49153,5298,5298,118,118,0,3.19156,0.0270471,0.0199562
101,UDP,10.11.35.2,10.0.0.1,49153,8000,297045,297045,227,227,0,6.48426,0.028565,1.1316
102,UDP,10.0.0.1,10.11.35.2,49188,49153,5296,5296,118,118,0,3.1916,0.0270474,0.0199479
103,UDP,10.11.36.2,10.0.0.1,49153,8000,297042,297042,227,227,0,6.48514,0.0285689,1.13159
104,UDP,10.0.0.1,10.11.36.2,49189,49153,5295,5295,118,118,0,3.19161,0.0270476,0.0199447
105,UDP,10.11.37.2,10.0.0.1,49153,8000,297069,297069,227,227,0,6.47751,0.0285353,1.13169
