Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,112.317,1,Pending,0
TCP,1.1,112.317,1,Pending,0
TCP,1.2,112.317,1,Pending,0
TCP,1.3,112.317,1,Pending,0
TCP,1.4,112.358,1,Pending,0
TCP,1.5,112.344,1,Pending,0
TCP,1.6,112.429,1,Pending,0
TCP,1.7,112.317,1,Pending,0
TCP,1.8,112.322,1,Pending,0
TCP,1.9,112.335,1,Pending,0
TCP,2,112.329,1,Pending,0
TCP,2.1,112.317,1,Pending,0
TCP,2.2,112.375,1,Pending,0
TCP,2.3,112.333,1,Pending,0
TCP,2.4,112.317,1,Pending,0
TCP,2.5,112.317,1,Pending,0
TCP,2.6,112.46,1,Pending,0
TCP,2.7,112.317,1,Pending,0
TCP,2.8,112.408,1,Pending,0
TCP,2.9,112.364,1,Pending,0
TCP,3,112.317,1,Pending,0
TCP,3.1,112.376,1,Pending,0
TCP,3.2,112.319,1,Pending,0
TCP,3.3,112.336,1,Pending,0
TCP,3.4,112.334,1,Pending,0
TCP,3.5,112.352,1,Pending,0
TCP,3.6,112.376,1,Pending,0
TCP,3.7,112.42,1,Pending,0
TCP,3.8,112.349,1,Pending,0
TCP,3.9,112.317,1,Pending,0
TCP,4,112.421,1,Pending,0
TCP,4.1,112.369,1,Pending,0
TCP,4.2,112.317,1,Pending,0
TCP,4.3,112.317,1,Pending,0
TCP,4.4,112.4,1,Pending,0
TCP,4.5,112.376,1,Pending,0
TCP,4.6,112.319,1,Pending,0
TCP,4.7,112.409,1,Pending,0
TCP,4.8,112.367,1,Pending,0
TCP,4.9,112.404,1,Pending,0
TCP,5,112.317,1,Pending,0
TCP,5.1,112.331,1,Pending,0
TCP,5.2,112.317,1,Pending,0
TCP,5.3,112.398,1,Pending,0
TCP,5.4,112.37,1,Pending,0
