FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.10.0.2,10.0.0.1,49153,5000,3368,3368,7,7,0,0.195875,0.0279821,0.0862713
2,TCP,10.0.0.1,10.10.0.2,5000,49153,108,108,2,2,0,0.0541075,0.0270538,0.015569
3,TCP,10.10.1.2,10.0.0.1,49153,5001,3368,3368,7,7,0,0.195875,0.0279821,0.0862713
4,TCP,10.0.0.1,10.10.1.2,5001,49153,108,108,2,2,0,0.0541075,0.0270538,0.015569
5,TCP,10.10.2.2,10.0.0.1,49153,5002,3368,3368,7,7,0,0.195875,0.0279821,0.0862713
6,UDP,10.12.115.2,10.0.0.1,49153,9999,432540,432540,801,801,0,22.0465,0.0275237,0.119297
7,UDP,10.12.51.2,10.0.0.1,49153,9999,412020,412020,763,763,0,21.0016,0.027525,0.114137
8,UDP,10.12.162.2,10.0.0.1,49153,9999,426600,426600,790,790,0,21.7532,0.0275357,0.116659
9,TCP,10.0.0.1,10.10.2.2,5002,49153,108,108,2,2,0,0.0541075,0.0270538,0.015569
10,UDP,10.12.235.2,10.0.0.1,49153,9999,409320,409320,758,758,0,20.8694,0.0275321,0.111969
11,UDP,10.12.179.2,10.0.0.1,49153,9999,368820,368820,683,683,0,18.8004,0.0275263,0.104952
12,UDP,10.12.13.2,10.0.0.1,49153,9999,356940,356940,661,661,0,18.199,0.0275325,0.10113
13,UDP,10.12.121.2,10.0.0.1,49153,9999,399060,399060,739,739,0,20.341,0.027525,0.109181
14,UDP,10.12.67.2,10.0.0.1,49153,9999,375840,375840,696,696,0,19.1593,0.0275278,0.104368
15,UDP,10.12.156.2,10.0.0.1,49153,9999,399060,399060,739,739,0,20.3424,0.0275269,0.107325
16,UDP,10.12.87.2,10.0.0.1,49153,9999,511380,511380,947,947,0,26.0677,0.0275266,0.138474
17,UDP,10.12.238.2,10.0.0.1,49153,9999,380700,380700,705,705,0,19.4069,0.0275275,0.102398
18,UDP,10.12.153.2,10.0.0.1,49153,9999,366120,366120,678,678,0,18.6622,0.0275253,0.0991258
19,UDP,10.12.166.2,10.0.0.1,49153,9999,346680,346680,642,642,0,17.6721,0.0275267,0.0932368
20,UDP,10.12.48.2,10.0.0.1,49153,9999,387180,387180,717,717,0,19.7366,0.0275267,0.104152
21,UDP,10.12.32.2,10.0.0.1,49153,9999,439560,439560,814,814,0,22.4083,0.0275286,0.118489
22,UDP,10.12.204.2,10.0.0.1,49153,9999,419040,419040,776,776,0,21.3617,0.027528,0.116088
23,UDP,10.12.130.2,10.0.0.1,49153,9999,460080,460080,852,852,0,23.4577,0.0275325,0.124907
24,UDP,10.12.93.2,10.0.0.1,49153,9999,463320,463320,858,858,0,23.6188,0.0275277,0.125445
25,UDP,10.12.149.2,10.0.0.1,49153,9999,420660,420660,779,779,0,21.4455,0.0275295,0.113214
26,UDP,10.12.181.2,10.0.0.1,49153,9999,421200,421200,780,780,0,21.4717,0.0275278,0.113343
