Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.07205,56.3697,1,,0
QUIC,1.07777,58.3052,1,,0
QUIC,1.07878,58.9315,1,,0
QUIC,1.07631,63.018,1,,0
QUIC,1.08771,55.5423,1,,0
QUIC,1.08911,55.7612,1,,0
QUIC,1.09084,55.0688,1,,0
QUIC,1.09288,55.3997,1,,0
QUIC,1.08565,65.1226,1,,0
QUIC,1.09589,55.0904,1,,0
QUIC,1.09486,60.6636,1,,0
QUIC,1.10016,56.2092,1,,0
QUIC,1.09463,65.0004,1,,0
QUIC,1.10707,55.5772,1,,0
QUIC,1.10723,56.1555,1,,0
QUIC,1.11134,54.7448,1,,0
QUIC,2.05767,55.8339,1,,0
QUIC,2.05785,56.3939,1,,0
QUIC,2.06024,55.57,1,,0
