FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.0.200.2,10.0.0.1,49153,8000,317361,299201,232,220,13,6.08262,0.0276483,0.723792
2,UDP,10.0.0.1,10.0.200.2,49153,49153,7875,7712,124,121,3,3.28263,0.0271292,0.0185595
3,UDP,10.12.129.2,10.0.0.1,49153,9999,249480,244080,462,452,6,12.264,0.0271327,0.0663803
4,UDP,10.12.23.2,10.0.0.1,49153,9999,246780,237600,457,440,11,11.9391,0.0271344,0.0645215
5,UDP,10.12.82.2,10.0.0.1,49153,9999,254880,248940,472,461,7,12.5086,0.0271335,0.0671761
6,UDP,10.12.24.2,10.0.0.1,49153,9999,173880,171180,322,317,4,8.60059,0.0271312,0.0463687
7,UDP,10.12.28.2,10.0.0.1,49153,9999,236520,230040,438,426,11,11.5592,0.0271342,0.0619028
8,UDP,10.12.54.2,10.0.0.1,49153,9999,241380,231660,447,429,9,11.6409,0.027135,0.0623188
9,UDP,10.12.175.2,10.0.0.1,49153,9999,267300,254340,495,471,15,12.7811,0.0271361,0.0686894
10,UDP,10.12.219.2,10.0.0.1,49153,9999,232200,225720,430,418,9,11.3438,0.0271383,0.0607327
11,UDP,10.12.26.2,10.0.0.1,49153,9999,244620,239220,453,443,6,12.0204,0.027134,0.0649917
12,UDP,10.12.37.2,10.0.0.1,49153,9999,243540,234900,451,435,11,11.8018,0.0271306,0.0634758
13,UDP,10.12.156.2,10.0.0.1,49153,9999,291060,281880,539,522,6,14.1635,0.0271332,0.0759123
14,UDP,10.12.43.2,10.0.0.1,49153,9999,229500,224640,425,416,5,11.2886,0.0271362,0.0605033
15,UDP,10.12.164.2,10.0.0.1,49153,9999,269460,261360,499,484,11,13.1314,0.0271311,0.0703579
16,UDP,10.12.104.2,10.0.0.1,49153,9999,225720,218700,418,405,11,10.9903,0.0271366,0.0593272
17,UDP,10.12.50.2,10.0.0.1,49153,9999,257040,249480,476,462,9,12.5355,0.0271331,0.0672092
18,UDP,10.12.48.2,10.0.0.1,49153,9999,248400,239220,460,443,13,12.021,0.0271354,0.065218
19,UDP,10.12.75.2,10.0.0.1,49153,9999,180360,178740,334,331,3,8.981,0.0271329,0.0487002
20,UDP,10.12.0.2,10.0.0.1,49153,9999,171180,165240,317,306,7,8.30325,0.0271348,0.0447252
21,UDP,10.12.198.2,10.0.0.1,49153,9999,200340,194940,371,361,8,9.79478,0.0271324,0.0525264
22,UDP,10.12.183.2,10.0.0.1,49153,9999,221940,213300,411,395,10,10.7172,0.027132,0.060044
23,UDP,10.12.84.2,10.0.0.1,49153,9999,216540,208980,401,387,9,10.5012,0.0271348,0.0564221
24,UDP,10.12.142.2,10.0.0.1,49153,9999,219780,214380,407,397,3,10.7723,0.0271342,0.057752
25,UDP,10.12.30.2,10.0.0.1,49153,9999,253800,248400,470,460,8,12.4822,0.0271352,0.0669358
26,UDP,10.12.192.2,10.0.0.1,49153,9999,238140,227340,441,421,13,11.4234,0.0271341,0.0616497
27,UDP,10.12.17.2,10.0.0.1,49153,9999,216540,210060,401,389,9,10.5557,0.0271354,0.056631
28,UDP,10.12.112.2,10.0.0.1,49153,9999,213300,206820,395,383,6,10.392,0.0271332,0.0557838
29,UDP,10.12.195.2,10.0.0.1,49153,9999,203040,196020,376,363,10,9.85069,0.0271369,0.0528916
30,UDP,10.12.89.2,10.0.0.1,49153,9999,191160,186300,354,345,6,9.3612,0.0271339,0.0507059
31,UDP,10.12.124.2,10.0.0.1,49153,9999,225180,218700,417,405,8,10.9888,0.0271327,0.0590057
32,UDP,10.12.57.2,10.0.0.1,49153,9999,242460,235440,449,436,10,11.8304,0.0271339,0.0635435
33,UDP,10.12.217.2,10.0.0.1,49153,9999,200340,193320,371,358,10,9.71441,0.0271352,0.0523132
34,UDP,10.12.111.2,10.0.0.1,49153,9999,239220,232200,443,430,7,11.6692,0.0271378,0.0637285
35,UDP,10.12.1.2,10.0.0.1,49153,9999,246780,238140,457,441,8,11.9665,0.0271349,0.0642876
36,UDP,10.12.140.2,10.0.0.1,49153,9999,231660,221400,429,410,14,11.1244,0.0271328,0.0605823
37,UDP,10.12.3.2,10.0.0.1,49153,9999,255960,247320,474,458,12,12.428,0.0271354,0.0667842
38,UDP,10.12.108.2,10.0.0.1,49153,9999,294300,285120,545,528,12,14.3271,0.0271347,0.0795027
39,UDP,10.12.5.2,10.0.0.1,49153,9999,202500,197640,375,366,8,9.93072,0.0271331,0.053867
40,UDP,10.12.106.2,10.0.0.1,49153,9999,240300,233280,445,432,10,11.7219,0.0271339,0.0630098
41,UDP,10.12.18.2,10.0.0.1,49153,9999,241380,237060,447,439,4,11.912,0.0271343,0.0642427
42,UDP,10.12.212.2,10.0.0.1,49153,9999,257040,252180,476,467,5,12.6722,0.0271352,0.0691022
43,UDP,10.12.184.2,10.0.0.1,49153,9999,219780,217620,407,403,3,10.9344,0.0271325,0.058956
44,UDP,10.12.138.2,10.0.0.1,49153,9999,273240,264600,506,490,12,13.295,0.0271326,0.0723007
45,UDP,10.12.186.2,10.0.0.1,49153,9999,210060,203580,389,377,8,10.2301,0.0271355,0.0550113
46,UDP,10.12.102.2,10.0.0.1,49153,9999,200340,194400,371,360,5,9.76785,0.0271329,0.0525348
47,UDP,10.12.72.2,10.0.0.1,49153,9999,245700,235980,455,437,10,11.8567,0.0271321,0.0637356
48,UDP,10.12.94.2,10.0.0.1,49153,9999,207360,200340,384,371,12,10.0665,0.0271333,0.0547618
49,UDP,10.12.153.2,10.0.0.1,49153,9999,184140,178740,341,331,7,8.98155,0.0271346,0.0482916
50,UDP,10.12.91.2,10.0.0.1,49153,9999,237060,229500,439,425,9,11.5333,0.0271371,0.0637856
51,UDP,10.12.97.2,10.0.0.1,49153,9999,247860,244080,459,452,2,12.2644,0.0271335,0.0659252
52,UDP,10.12.185.2,10.0.0.1,49153,9999,273780,264060,507,489,14,13.269,0.027135,0.0713817
53,UDP,10.12.162.2,10.0.0.1,49153,9999,258660,248940,479,461,13,12.5109,0.0271386,0.0685192
54,UDP,10.12.15.2,10.0.0.1,49153,9999,262440,257040,486,476,7,12.9169,0.0271363,0.0694735
55,UDP,10.12.101.2,10.0.0.1,49153,9999,234360,230580,434,427,6,11.5868,0.0271353,0.0623333
56,UDP,10.12.63.2,10.0.0.1,49153,9999,255960,246780,474,457,13,12.4002,0.0271339,0.0667431
57,UDP,10.12.131.2,10.0.0.1,49153,9999,248940,242460,461,449,9,12.1843,0.0271365,0.0672282
58,UDP,10.12.216.2,10.0.0.1,49153,9999,248940,241380,461,447,10,12.1294,0.027135,0.0656943
59,UDP,10.12.83.2,10.0.0.1,49153,9999,251100,242460,465,449,10,12.1826,0.0271327,0.0685813
60,UDP,10.12.81.2,10.0.0.1,49153,9999,217620,212760,403,394,3,10.6904,0.0271331,0.0575823
61,UDP,10.12.228.2,10.0.0.1,49153,9999,247320,240300,458,445,7,12.0742,0.0271331,0.0662016
62,UDP,10.12.31.2,10.0.0.1,49153,9999,223560,216540,414,401,9,10.8823,0.0271379,0.0585571
63,UDP,10.12.149.2,10.0.0.1,49153,9999,196020,185760,363,344,15,9.33356,0.0271324,0.0523059
64,UDP,10.12.151.2,10.0.0.1,49153,9999,301860,293760,559,544,10,14.76,0.0271323,0.0796037
65,UDP,10.12.93.2,10.0.0.1,49153,9999,282960,272700,524,505,16,13.7036,0.0271359,0.0737901
66,UDP,10.12.65.2,10.0.0.1,49153,9999,228420,221400,423,410,10,11.124,0.0271317,0.0599096
67,UDP,10.12.150.2,10.0.0.1,49153,9999,257580,249480,477,462,12,12.5353,0.0271328,0.0675084
68,UDP,10.12.66.2,10.0.0.1,49153,9999,184680,178200,342,330,5,8.95444,0.0271347,0.0482448
69,UDP,10.12.68.2,10.0.0.1,49153,9999,231120,224100,428,415,9,11.2602,0.0271329,0.0606413
70,UDP,10.12.135.2,10.0.0.1,49153,9999,248940,240840,461,446,13,12.1018,0.027134,0.0651652
71,UDP,10.12.133.2,10.0.0.1,49153,9999,261900,256500,485,475,10,12.89,0.0271369,0.0693991
72,UDP,10.12.116.2,10.0.0.1,49153,9999,210060,204120,389,378,7,10.2568,0.0271345,0.0566561
73,UDP,10.12.201.2,10.0.0.1,49153,9999,211680,206820,392,383,4,10.3919,0.0271328,0.0560163
74,UDP,10.12.177.2,10.0.0.1,49153,9999,272160,262980,504,487,11,13.2139,0.0271333,0.0711959
