FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.0.200.2,10.0.0.1,49153,5000,3368,3368,7,7,0,0.197702,0.0282432,0.0853744
2,TCP,10.0.0.1,10.0.200.2,5000,49153,108,108,2,2,0,0.0544272,0.0272136,0.0156763
3,TCP,10.0.200.3,10.0.0.1,49153,5001,3368,3368,7,7,0,0.200294,0.0286134,0.082772
4,TCP,10.0.0.1,10.0.200.3,5001,49153,108,108,2,2,0,0.0615403,0.0307702,0.0139025
5,TCP,10.0.200.4,10.0.0.1,49153,5002,3368,3368,7,7,0,0.193375,0.0276251,0.0848527
6,UDP,10.12.6.2,10.0.0.1,49153,9999,2251800,2251800,4170,4170,0,113.143,0.0271327,0.604871
7,UDP,10.12.5.2,10.0.0.1,49153,9999,1715040,1715040,3176,3176,0,86.1734,0.0271327,0.461062
8,UDP,10.12.20.2,10.0.0.1,49153,9999,1924020,1924020,3563,3563,0,96.6697,0.0271316,0.517023
9,UDP,10.12.11.2,10.0.0.1,49153,9999,1743660,1743660,3229,3229,0,87.6128,0.0271331,0.468585
10,TCP,10.0.0.1,10.0.200.4,5002,49153,108,108,2,2,0,0.0605105,0.0302553,0.0141372
11,UDP,10.12.24.2,10.0.0.1,49153,9999,2436480,2436480,4512,4512,0,122.427,0.0271336,0.654962
12,UDP,10.12.2.2,10.0.0.1,49153,9999,1957500,1957500,3625,3625,0,98.3513,0.0271314,0.528105
13,UDP,10.12.19.2,10.0.0.1,49153,9999,2223180,2223180,4117,4117,0,111.723,0.0271371,0.597754
14,TCP,10.0.200.5,10.0.0.1,49153,5003,3368,3368,7,7,0,0.198247,0.028321,0.0848516
15,UDP,10.12.18.2,10.0.0.1,49153,9999,1936980,1936980,3587,3587,0,97.3262,0.027133,0.522095
16,TCP,10.0.0.1,10.0.200.5,5003,49153,108,108,2,2,0,0.055537,0.0277685,0.0153891
17,UDP,10.12.27.2,10.0.0.1,49153,9999,1888380,1888380,3497,3497,0,94.8872,0.0271339,0.517232
18,UDP,10.12.10.2,10.0.0.1,49153,9999,1451520,1451520,2688,2688,0,72.9305,0.0271319,0.396538
19,UDP,10.12.28.2,10.0.0.1,49153,9999,1814940,1814940,3361,3361,0,91.204,0.027136,0.519692
20,UDP,10.12.0.2,10.0.0.1,49153,9999,1682640,1682640,3116,3116,0,84.5616,0.0271379,0.45476
21,TCP,10.0.200.6,10.0.0.1,49153,5004,3368,3368,7,7,0,0.196578,0.0280826,0.0845647
22,UDP,10.12.4.2,10.0.0.1,49153,9999,2179980,2179980,4037,4037,0,109.529,0.0271313,0.589329
23,TCP,10.0.0.1,10.0.200.6,5004,49153,108,108,2,2,0,0.0585361,0.029268,0.0146088
24,UDP,10.12.3.2,10.0.0.1,49153,9999,1633500,1633500,3025,3025,0,82.0866,0.0271361,0.444043
25,UDP,10.12.26.2,10.0.0.1,49153,9999,2011500,2011500,3725,3725,0,101.08,0.0271355,0.54502
26,TCP,10.0.200.7,10.0.0.1,49153,5005,3368,3368,7,7,0,0.196514,0.0280735,0.0838338
27,TCP,10.0.0.1,10.0.200.7,5005,49153,108,108,2,2,0,0.0614701,0.0307351,0.0139082
28,UDP,10.12.8.2,10.0.0.1,49153,9999,1739880,1739880,3222,3222,0,87.43,0.0271353,0.472944
29,UDP,10.12.15.2,10.0.0.1,49153,9999,2471040,2471040,4576,4576,0,124.151,0.027131,0.674653
30,TCP,10.0.200.8,10.0.0.1,49153,5006,3368,3368,7,7,0,0.202323,0.0289033,0.0835771
31,TCP,10.0.0.1,10.0.200.8,5006,49153,108,108,2,2,0,0.0564571,0.0282286,0.015141
32,UDP,10.12.29.2,10.0.0.1,49153,9999,1588140,1588140,2941,2941,0,79.8059,0.0271356,0.445632
33,TCP,10.0.200.9,10.0.0.1,49153,5007,3368,3368,7,7,0,0.199593,0.0285133,0.0822951
34,UDP,10.12.12.2,10.0.0.1,49153,9999,1919700,1919700,3555,3555,0,96.4796,0.0271391,0.552211
35,UDP,10.12.7.2,10.0.0.1,49153,9999,2276640,2276640,4216,4216,0,114.397,0.027134,0.622385
36,TCP,10.0.0.1,10.0.200.9,5007,49153,108,108,2,2,0,0.0643892,0.0321946,0.0132804
37,UDP,10.12.17.2,10.0.0.1,49153,9999,1934820,1934820,3583,3583,0,97.2203,0.0271338,0.537854
38,TCP,10.0.200.10,10.0.0.1,49153,5008,3368,3368,7,7,0,0.198588,0.0283697,0.0848242
39,UDP,10.12.22.2,10.0.0.1,49153,9999,2217780,2217780,4107,4107,0,111.435,0.027133,0.607648
40,TCP,10.0.0.1,10.0.200.10,5008,49153,108,108,2,2,0,0.0554729,0.0277364,0.0154067
41,UDP,10.12.14.2,10.0.0.1,49153,9999,2097900,2097900,3885,3885,0,105.408,0.027132,0.577706
42,TCP,10.0.200.11,10.0.0.1,49153,5009,3368,3368,7,7,0,0.198911,0.0284159,0.0830001
43,TCP,10.0.0.1,10.0.200.11,5009,49153,108,108,2,2,0,0.0624218,0.0312109,0.0136808
44,TCP,10.0.200.12,10.0.0.1,49153,5010,3368,3368,7,7,0,0.194405,0.0277721,0.0852989
45,TCP,10.0.0.1,10.0.200.12,5010,49153,108,108,2,2,0,0.0578812,0.0289406,0.0147701
46,UDP,10.12.1.2,10.0.0.1,49153,9999,1860300,1860300,3445,3445,0,93.4728,0.0271329,0.531605
47,TCP,10.0.200.13,10.0.0.1,49153,5011,3368,3368,7,7,0,0.197578,0.0282255,0.0854122
48,TCP,10.0.0.1,10.0.200.13,5011,49153,108,108,2,2,0,0.0544434,0.0272217,0.0156797
49,TCP,10.0.200.14,10.0.0.1,49153,5012,3368,3368,7,7,0,0.199197,0.0284567,0.0850069
