Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1.1,1180.9,1,Pending,0
TCP,1.3,118.633,1,Pending,0
TCP,2,116.635,1,Pending,0
TCP,1.2,118.43,1,Pending,0
TCP,1.6,1177.97,1,Pending,0
TCP,1,1170.52,1,Pending,0
TCP,1.5,122.326,1,Pending,0
TCP,1.9,125.626,1,Pending,0
TCP,1.7,128.632,1,Pending,0
TCP,1.4,119.521,1,Pending,0
TCP,1.8,118.501,1,Pending,0
TCP,2.1,116.026,1,Pending,0
TCP,2.2,117.551,1,Pending,0
TCP,2.3,118.318,1,Pending,0
TCP,2.4,118.357,1,Pending,0
TCP,2.5,115.444,1,Pending,0
TCP,2.6,127.628,1,Pending,0
TCP,2.7,125.457,1,Pending,0
TCP,2.8,1175.58,1,Pending,0
TCP,2.9,128.126,1,Pending,0
TCP,3,123.987,1,Pending,0
TCP,3.1,117.505,1,Pending,0
TCP,3.2,124.458,1,Pending,0
TCP,3.3,128.769,1,Pending,0
TCP,3.4,123.093,1,Pending,0
TCP,3.5,120.572,1,Pending,0
TCP,3.6,124.284,1,Pending,0
TCP,3.7,1179.54,1,Pending,0
TCP,3.8,1119.11,1,Pending,0
TCP,3.9,122.702,1,Pending,0
TCP,4,121.528,1,Pending,0
TCP,4.1,123.487,1,Pending,0
TCP,4.2,122.738,1,Pending,0
TCP,4.3,123.356,1,Pending,0
TCP,4.4,126.526,1,Pending,0
TCP,4.5,117.573,1,Pending,0
TCP,4.6,122.632,1,Pending,0
TCP,4.7,1127,1,Pending,0
TCP,4.8,1125.69,1,Pending,0
TCP,4.9,1175.06,1,Pending,0
TCP,5,3114.79,1,Pending,0
TCP,5.1,1127.87,1,Pending,0
TCP,5.2,128.193,1,Pending,0
TCP,5.3,120.235,1,Pending,0
TCP,5.4,129.438,1,Pending,0
