FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.0.200.2,10.0.0.1,49153,5000,3620,3368,8,7,1,0.197532,0.0282189,0.0196599
2,TCP,10.0.0.1,10.0.200.2,5000,49153,108,108,2,2,0,0.0544959,0.027248,0.0156076
3,TCP,10.0.200.3,10.0.0.1,49153,5001,4820,3368,8,7,1,0.200972,0.0287102,0.0228182
4,TCP,10.0.0.1,10.0.200.3,5001,49153,220,220,4,4,0,0.116068,0.029017,0.00157526
5,TCP,10.0.200.4,10.0.0.1,49153,5002,3424,3368,8,7,1,0.193251,0.0276072,0.00812757
6,UDP,10.12.6.2,10.0.0.1,49153,9999,720360,699300,1334,1295,28,35.2823,0.027245,0.191312
7,UDP,10.12.21.2,10.0.0.1,49153,9999,674460,652860,1249,1209,30,32.9357,0.0272421,0.175478
8,UDP,10.12.9.2,10.0.0.1,49153,9999,660420,640980,1223,1187,26,32.3426,0.0272473,0.172671
9,UDP,10.12.12.2,10.0.0.1,49153,9999,514620,499500,953,925,19,25.194,0.0272368,0.136574
10,TCP,10.0.200.5,10.0.0.1,49153,5003,3368,3368,7,7,0,0.199442,0.0284918,0.0833025
11,UDP,10.12.13.2,10.0.0.1,49153,9999,621000,599400,1150,1110,26,30.2407,0.0272439,0.16157
12,UDP,10.12.3.2,10.0.0.1,49153,9999,583740,567000,1081,1050,19,28.5946,0.027233,0.157522
13,UDP,10.12.10.2,10.0.0.1,49153,9999,476280,464940,882,861,14,23.4502,0.027236,0.131286
14,TCP,10.0.0.1,10.0.200.5,5003,49153,108,108,2,2,0,0.060517,0.0302585,0.0140766
15,UDP,10.12.19.2,10.0.0.1,49153,9999,621000,607500,1150,1125,16,30.6453,0.0272402,0.164103
16,TCP,10.0.200.6,10.0.0.1,49153,5004,3368,3316,7,6,1,0.170263,0.0283772,0.0838255
17,UDP,10.12.14.2,10.0.0.1,49153,9999,457380,448200,847,830,11,22.6182,0.0272508,0.121185
18,UDP,10.12.7.2,10.0.0.1,49153,9999,558900,542700,1035,1005,27,27.3816,0.0272454,0.147326
19,UDP,10.12.16.2,10.0.0.1,49153,9999,616140,592380,1141,1097,29,29.8807,0.0272386,0.160261
20,TCP,10.0.0.1,10.0.200.6,5004,49153,108,108,2,2,0,0.0555419,0.0277709,0.0153175
21,UDP,10.12.28.2,10.0.0.1,49153,9999,576720,554580,1068,1027,26,27.9775,0.027242,0.151543
22,UDP,10.12.1.2,10.0.0.1,49153,9999,480060,461160,889,854,26,23.2655,0.0272429,0.125325
23,UDP,10.12.2.2,10.0.0.1,49153,9999,623700,605340,1155,1121,21,30.5354,0.0272395,0.166048
24,UDP,10.12.0.2,10.0.0.1,49153,9999,574560,559980,1064,1037,20,28.2571,0.0272488,0.152326
25,UDP,10.12.17.2,10.0.0.1,49153,9999,452520,444420,838,823,11,22.4196,0.0272413,0.130143
26,UDP,10.12.26.2,10.0.0.1,49153,9999,626400,608580,1160,1127,24,30.7161,0.0272548,0.165958
27,UDP,10.12.4.2,10.0.0.1,49153,9999,560520,543240,1038,1006,17,27.4225,0.027259,0.14965
28,UDP,10.12.11.2,10.0.0.1,49153,9999,605880,584820,1122,1083,23,29.5024,0.0272414,0.159562
29,UDP,10.12.22.2,10.0.0.1,49153,9999,641520,624240,1188,1156,24,31.4909,0.0272413,0.170367
30,UDP,10.12.5.2,10.0.0.1,49153,9999,546480,530820,1012,983,21,26.7758,0.0272389,0.144939
31,UDP,10.12.23.2,10.0.0.1,49153,9999,559980,545400,1037,1010,22,27.5098,0.0272374,0.149099
32,UDP,10.12.24.2,10.0.0.1,49153,9999,659880,641520,1222,1188,21,32.3621,0.0272408,0.175333
33,UDP,10.12.8.2,10.0.0.1,49153,9999,567000,545400,1050,1010,24,27.5223,0.0272498,0.150501
34,UDP,10.12.29.2,10.0.0.1,49153,9999,559440,542160,1036,1004,25,27.3512,0.0272423,0.154424
35,UDP,10.12.27.2,10.0.0.1,49153,9999,585900,566460,1085,1049,29,28.5737,0.027239,0.157676
36,UDP,10.12.20.2,10.0.0.1,49153,9999,497880,484920,922,898,17,24.4585,0.0272366,0.136643
37,UDP,10.12.15.2,10.0.0.1,49153,9999,445500,432540,825,801,15,21.8216,0.0272429,0.125691
38,UDP,10.12.25.2,10.0.0.1,49153,9999,516240,500580,956,927,23,25.2478,0.0272361,0.14518
39,UDP,10.12.18.2,10.0.0.1,49153,9999,723060,698760,1339,1294,26,35.2573,0.0272467,0.206679
40,TCP,10.0.0.1,10.0.200.4,5002,49153,108,108,2,2,0,0.0585504,0.0292752,0.0145415
