FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.0.200.2,10.0.0.1,49153,8000,297179,297179,229,229,0,6.51754,0.0284609,1.02165
2,UDP,10.0.0.1,10.0.200.2,49153,49153,5451,5451,121,121,0,3.2876,0.0271702,0.0186038
3,UDP,10.12.152.2,10.0.0.1,49153,9999,203040,203040,376,376,0,10.306,0.0274097,0.0555698
4,UDP,10.12.164.2,10.0.0.1,49153,9999,194400,194400,360,360,0,9.85244,0.0273679,0.052601
5,UDP,10.12.183.2,10.0.0.1,49153,9999,209520,209520,388,388,0,10.6281,0.0273921,0.0563678
6,UDP,10.12.132.2,10.0.0.1,49153,9999,198720,198720,368,368,0,10.0661,0.0273536,0.0534653
7,UDP,10.12.99.2,10.0.0.1,49153,9999,214380,214380,397,397,0,10.8748,0.0273925,0.0577346
8,UDP,10.12.5.2,10.0.0.1,49153,9999,222480,222480,412,412,0,11.2933,0.027411,0.0601403
9,UDP,10.12.218.2,10.0.0.1,49153,9999,249480,249480,462,462,0,12.6734,0.0274317,0.067211
10,UDP,10.12.169.2,10.0.0.1,49153,9999,189540,189540,351,351,0,9.61085,0.0273813,0.051038
11,UDP,10.12.49.2,10.0.0.1,49153,9999,193320,193320,358,358,0,9.7954,0.0273614,0.0520509
12,UDP,10.12.226.2,10.0.0.1,49153,9999,203580,203580,377,377,0,10.3234,0.0273831,0.0586507
13,UDP,10.12.127.2,10.0.0.1,49153,9999,192780,192780,357,357,0,9.76513,0.0273533,0.052422
14,UDP,10.12.79.2,10.0.0.1,49153,9999,221940,221940,411,411,0,11.2547,0.0273837,0.0597622
15,UDP,10.12.231.2,10.0.0.1,49153,9999,219240,219240,406,406,0,11.1048,0.0273517,0.0590586
16,UDP,10.12.224.2,10.0.0.1,49153,9999,206820,206820,383,383,0,10.4903,0.0273899,0.0572293
17,UDP,10.12.233.2,10.0.0.1,49153,9999,190080,190080,352,352,0,9.64304,0.027395,0.0511725
18,UDP,10.12.198.2,10.0.0.1,49153,9999,255960,255960,474,474,0,12.9859,0.0273964,0.0690038
19,UDP,10.12.234.2,10.0.0.1,49153,9999,164700,164700,305,305,0,8.36309,0.02742,0.0452797
20,UDP,10.12.136.2,10.0.0.1,49153,9999,216540,216540,401,401,0,10.9967,0.0274232,0.0588176
21,UDP,10.12.70.2,10.0.0.1,49153,9999,175500,175500,325,325,0,8.90141,0.027389,0.0472825
22,UDP,10.12.128.2,10.0.0.1,49153,9999,153360,153360,284,284,0,7.76949,0.0273574,0.0415424
23,UDP,10.12.84.2,10.0.0.1,49153,9999,186300,186300,345,345,0,9.444,0.0273739,0.0501855
24,UDP,10.12.28.2,10.0.0.1,49153,9999,166860,166860,309,309,0,8.46674,0.0274004,0.044981
25,UDP,10.12.13.2,10.0.0.1,49153,9999,184680,184680,342,342,0,9.3629,0.0273769,0.0520375
26,UDP,10.12.154.2,10.0.0.1,49153,9999,197640,197640,366,366,0,10.022,0.0273826,0.0532575
27,UDP,10.12.114.2,10.0.0.1,49153,9999,158220,158220,293,293,0,8.02205,0.027379,0.0426327
28,UDP,10.12.209.2,10.0.0.1,49153,9999,182520,182520,338,338,0,9.25687,0.0273872,0.0492283
29,UDP,10.12.143.2,10.0.0.1,49153,9999,207900,207900,385,385,0,10.5365,0.0273675,0.0571809
30,UDP,10.12.219.2,10.0.0.1,49153,9999,176580,176580,327,327,0,8.94617,0.0273583,0.0487761
31,UDP,10.12.22.2,10.0.0.1,49153,9999,198720,198720,368,368,0,10.0818,0.0273963,0.0538635
32,UDP,10.12.86.2,10.0.0.1,49153,9999,217620,217620,403,403,0,11.0433,0.0274026,0.0588891
33,UDP,10.12.159.2,10.0.0.1,49153,9999,228420,228420,423,423,0,11.5892,0.0273977,0.0627891
34,UDP,10.12.25.2,10.0.0.1,49153,9999,169560,169560,314,314,0,8.59274,0.0273654,0.0457204
35,UDP,10.12.110.2,10.0.0.1,49153,9999,226800,226800,420,420,0,11.5034,0.0273892,0.0611857
36,UDP,10.12.176.2,10.0.0.1,49153,9999,213840,213840,396,396,0,10.8563,0.0274148,0.0586648
37,UDP,10.12.157.2,10.0.0.1,49153,9999,195480,195480,362,362,0,9.89837,0.0273436,0.0527856
38,UDP,10.12.47.2,10.0.0.1,49153,9999,166860,166860,309,309,0,8.46018,0.0273792,0.0451738
39,UDP,10.12.147.2,10.0.0.1,49153,9999,199800,199800,370,370,0,10.125,0.0273648,0.0552062
40,UDP,10.12.109.2,10.0.0.1,49153,9999,162000,162000,300,300,0,8.20825,0.0273608,0.0447308
41,UDP,10.12.42.2,10.0.0.1,49153,9999,214380,214380,397,397,0,10.8754,0.0273941,0.0587305
42,UDP,10.12.189.2,10.0.0.1,49153,9999,170100,170100,315,315,0,8.62622,0.0273848,0.0460935
43,UDP,10.12.14.2,10.0.0.1,49153,9999,183060,183060,339,339,0,9.27842,0.02737,0.0496162
44,UDP,10.12.120.2,10.0.0.1,49153,9999,252180,252180,467,467,0,12.8037,0.0274168,0.0681351
45,UDP,10.12.203.2,10.0.0.1,49153,9999,179820,179820,333,333,0,9.10963,0.0273562,0.0487954
46,UDP,10.12.16.2,10.0.0.1,49153,9999,174960,174960,324,324,0,8.86458,0.0273598,0.0472995
47,UDP,10.12.71.2,10.0.0.1,49153,9999,180360,180360,334,334,0,9.12803,0.0273294,0.0517431
48,UDP,10.12.153.2,10.0.0.1,49153,9999,170100,170100,315,315,0,8.61703,0.0273556,0.0470428
49,UDP,10.12.199.2,10.0.0.1,49153,9999,173880,173880,322,322,0,8.81671,0.0273811,0.046973
50,UDP,10.12.15.2,10.0.0.1,49153,9999,228420,228420,423,423,0,11.5811,0.0273785,0.0617188
51,UDP,10.12.187.2,10.0.0.1,49153,9999,204660,204660,379,379,0,10.3704,0.0273626,0.055333
52,UDP,10.12.168.2,10.0.0.1,49153,9999,231660,231660,429,429,0,11.7386,0.0273627,0.0626774
53,UDP,10.12.46.2,10.0.0.1,49153,9999,207360,207360,384,384,0,10.5153,0.0273837,0.0564615
54,UDP,10.12.235.2,10.0.0.1,49153,9999,214920,214920,398,398,0,10.8993,0.0273853,0.0604603
55,UDP,10.12.123.2,10.0.0.1,49153,9999,226800,226800,420,420,0,11.5042,0.027391,0.0619298
56,UDP,10.12.58.2,10.0.0.1,49153,9999,206280,206280,382,382,0,10.4627,0.0273894,0.0568159
57,UDP,10.12.160.2,10.0.0.1,49153,9999,196020,196020,363,363,0,9.95051,0.0274119,0.0530712
58,UDP,10.12.141.2,10.0.0.1,49153,9999,176580,176580,327,327,0,8.97304,0.0274405,0.0478087
59,UDP,10.12.236.2,10.0.0.1,49153,9999,187380,187380,347,347,0,9.50073,0.0273796,0.0507366
60,UDP,10.12.191.2,10.0.0.1,49153,9999,200340,200340,371,371,0,10.1475,0.0273517,0.0542285
61,UDP,10.12.31.2,10.0.0.1,49153,9999,176580,176580,327,327,0,8.93856,0.027335,0.0478148
