Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.06054,55.7314,1,,0
QUIC,1.57072,55.9822,1,,0
QUIC,2.06098,55.6946,1,,0
QUIC,2.5628,55.8338,1,,0
QUIC,3.06067,58.8817,1,,0
QUIC,3.56676,55.8836,1,,0
QUIC,4.06743,55.8515,1,,0
QUIC,4.56578,55.8145,1,,0
QUIC,5.06263,55.7685,1,,0
QUIC,5.57203,55.7257,1,,0
QUIC,6.56106,55.9359,1,,0
QUIC,6.56323,56.3451,1,,0
QUIC,7.06172,57.283,1,,0
QUIC,7.56246,55.6876,1,,0
QUIC,8.06412,55.7129,1,,0
QUIC,8.55958,55.8851,1,,0
QUIC,9.07202,55.9288,1,,0
QUIC,9.56982,55.7411,1,,0
QUIC,10.0654,56.1234,1,,0
QUIC,10.5725,55.6784,1,,0
QUIC,11.0697,56.0129,1,,0
QUIC,11.562,55.812,1,,0
QUIC,12.0667,55.7336,1,,0
QUIC,12.5725,55.8424,1,,0
QUIC,13.0667,55.7279,1,,0
QUIC,13.5645,55.8234,1,,0
QUIC,14.0669,55.8522,1,,0
QUIC,14.5695,55.8342,1,,0
QUIC,15.0636,55.7286,1,,0
QUIC,15.5672,55.7669,1,,0
QUIC,16.0658,55.8718,1,,0
QUIC,16.5676,55.67,1,,0
QUIC,17.0671,55.6882,1,,0
QUIC,17.5646,56.1867,1,,0
QUIC,18.0707,55.6817,1,,0
QUIC,18.5629,55.749,1,,0
QUIC,19.0682,55.902,1,,0
QUIC,20.0676,56.1741,1,,0
QUIC,20.0678,57.7691,1,,0
QUIC,20.566,56.2618,1,,0
QUIC,21.0663,55.8143,1,,0
QUIC,21.5726,55.939,1,,0
QUIC,22.0674,56.19,1,,0
QUIC,22.5646,55.7863,1,,0
QUIC,23.0687,55.7742,1,,0
