Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1.2,132.778,1,Pending,0
TCP,1,118.524,1,Pending,0
TCP,1.1,120.972,1,Pending,0
TCP,1.4,122.509,1,Pending,0
TCP,1.5,123.658,1,Pending,0
TCP,1.3,120.257,1,Pending,0
TCP,1.6,121.828,1,Pending,0
TCP,1.7,117.639,1,Pending,0
TCP,1.8,113.866,1,Pending,0
TCP,1.9,122.531,1,Pending,0
TCP,2,118.984,1,Pending,0
TCP,2.1,114.225,1,Pending,0
TCP,2.2,120.298,1,Pending,0
TCP,2.3,123.475,1,Pending,0
TCP,2.4,125.136,1,Pending,0
TCP,2.5,116.638,1,Pending,0
TCP,2.6,124.489,1,Pending,0
TCP,2.7,123.021,1,Pending,0
TCP,2.8,116.443,1,Pending,0
TCP,2.9,128.417,1,Pending,0
TCP,3,116.913,1,Pending,0
TCP,3.1,113.274,1,Pending,0
TCP,3.2,120.147,1,Pending,0
TCP,3.3,121.883,1,Pending,0
TCP,3.4,116.56,1,Pending,0
TCP,3.5,125.512,1,Pending,0
TCP,3.6,120.515,1,Pending,0
TCP,3.7,120.892,1,Pending,0
TCP,3.8,124.766,1,Pending,0
TCP,3.9,127.76,1,Pending,0
TCP,4,119.657,1,Pending,0
TCP,4.1,116.81,1,Pending,0
TCP,4.2,127.156,1,Pending,0
TCP,4.3,118.303,1,Pending,0
TCP,4.4,118.289,1,Pending,0
TCP,4.5,120.737,1,Pending,0
TCP,4.6,116.457,1,Pending,0
TCP,4.7,125.375,1,Pending,0
TCP,4.8,123.887,1,Pending,0
TCP,4.9,123.306,1,Pending,0
TCP,5,126.509,1,Pending,0
TCP,5.1,127.865,1,Pending,0
TCP,5.2,116.638,1,Pending,0
TCP,5.3,130.946,1,Pending,0
TCP,5.4,124.548,1,Pending,0
