Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.06631,75.777,1,,0
QUIC,1.57454,85.5502,1,,0
QUIC,2.06529,57.8634,1,,0
QUIC,2.56823,61.0801,1,,0
QUIC,3.57641,196.19,1,,0
QUIC,4.16701,64.6997,1,,0
QUIC,4.61304,78.0682,1,,0
QUIC,6.55144,106.319,1,,0
QUIC,6.6596,62.6755,1,,0
QUIC,7.27642,474.322,1,,0
QUIC,9.11005,63.1591,1,,0
QUIC,9.1574,61.5518,1,,0
QUIC,5.633,-1,0,Timeout,0
QUIC,9.1673,-1,0,Timeout,0
QUIC,13.8927,-1,0,Timeout,0
QUIC,13.9675,-1,0,Timeout,0
QUIC,17.5803,-1,0,Timeout,0
QUIC,17.5805,-1,0,Timeout,0
