FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.0.200.2,10.0.0.1,49153,8000,91959,81304,68,60,10,1.79537,0.0299229,0.538333
2,UDP,10.0.0.1,10.0.200.2,49153,49153,2054,1952,39,37,2,1.12233,0.0303333,0.0127299
3,UDP,10.0.200.75,10.0.0.1,49153,9999,1029780,171720,1907,318,1146,199.563,0.627556,0.0465539
4,UDP,10.0.200.134,10.0.0.1,49153,9999,1063260,0,1969,0,1195,0,0,0
5,UDP,10.0.200.76,10.0.0.1,49153,9999,725760,70200,1344,130,798,77.3657,0.595121,0.0189867
6,UDP,10.0.200.80,10.0.0.1,49153,9999,986580,3780,1827,7,1396,4.23887,0.605553,0.00101574
7,UDP,10.0.200.106,10.0.0.1,49153,9999,1006560,0,1864,0,1304,0,0,0
8,UDP,10.0.200.78,10.0.0.1,49153,9999,1020600,17820,1890,33,1298,21.6235,0.655257,0.00483376
9,UDP,10.0.200.89,10.0.0.1,49153,9999,1014660,0,1879,0,1221,0,0,0
10,UDP,10.0.200.51,10.0.0.1,49153,9999,828360,774900,1534,1435,85,184.447,0.128534,0.215472
11,UDP,10.0.200.95,10.0.0.1,49153,9999,957960,0,1774,0,1192,0,0,0
12,UDP,10.0.200.102,10.0.0.1,49153,9999,1072440,0,1986,0,1151,0,0,0
13,UDP,10.0.200.100,10.0.0.1,49153,9999,1036260,0,1919,0,1259,0,0,0
14,UDP,10.0.200.127,10.0.0.1,49153,9999,752760,0,1394,0,1059,0,0,0
15,UDP,10.0.200.52,10.0.0.1,49153,9999,714420,545940,1323,1011,269,149.02,0.147399,0.147551
16,UDP,10.0.200.136,10.0.0.1,49153,9999,902340,0,1671,0,1057,0,0,0
17,UDP,10.0.200.82,10.0.0.1,49153,9999,1057860,0,1959,0,1403,0,0,0
18,UDP,10.0.200.69,10.0.0.1,49153,9999,902880,513000,1672,950,578,375.675,0.395447,0.138137
19,UDP,10.0.200.47,10.0.0.1,49153,9999,905040,839700,1676,1555,89,184.068,0.118372,0.226132
20,UDP,10.0.200.141,10.0.0.1,49153,9999,796500,0,1475,0,1117,0,0,0
21,UDP,10.0.200.109,10.0.0.1,49153,9999,1011960,0,1874,0,1317,0,0,0
22,UDP,10.0.200.53,10.0.0.1,49153,9999,1029780,565380,1907,1047,791,143.348,0.136913,0.152376
23,UDP,10.0.200.55,10.0.0.1,49153,9999,1068120,0,1978,0,1384,0,0,0
24,UDP,10.0.200.57,10.0.0.1,49153,9999,843480,675540,1562,1251,255,184.275,0.147302,0.183983
25,UDP,10.0.200.70,10.0.0.1,49153,9999,1007640,0,1866,0,1223,0,0,0
26,UDP,10.0.200.126,10.0.0.1,49153,9999,1093500,0,2025,0,1327,0,0,0
27,UDP,10.0.200.124,10.0.0.1,49153,9999,1024380,0,1897,0,1327,0,0,0
28,UDP,10.0.200.146,10.0.0.1,49153,9999,865620,0,1603,0,1182,0,0,0
29,UDP,10.0.200.143,10.0.0.1,49153,9999,989280,0,1832,0,1221,0,0,0
30,UDP,10.0.200.67,10.0.0.1,49153,9999,1094580,837540,2027,1551,366,362.821,0.233927,0.22605
31,UDP,10.0.200.115,10.0.0.1,49153,9999,1068120,0,1978,0,1383,0,0,0
32,UDP,10.0.200.135,10.0.0.1,49153,9999,1047060,0,1939,0,1199,0,0,0
33,UDP,10.0.200.133,10.0.0.1,49153,9999,907740,0,1681,0,1078,0,0,0
