FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.0.200.2,10.0.0.1,49153,5000,3620,3368,8,7,1,0.204956,0.0292794,0.019384
2,TCP,10.0.0.1,10.0.200.2,5000,49153,108,108,2,2,0,0.0683001,0.0341501,0.0153807
3,TCP,10.0.200.3,10.0.0.1,49153,5001,4820,3368,8,7,1,0.205139,0.0293055,0.0227484
4,TCP,10.0.0.1,10.0.200.3,5001,49153,220,160,4,3,1,0.089924,0.0299747,0.0011439
5,TCP,10.0.200.4,10.0.0.1,49153,5002,3368,3368,7,7,0,0.206001,0.0294287,0.0795737
6,UDP,10.0.200.75,10.0.0.1,49153,9999,1029780,0,1907,0,1299,0,0,0
7,UDP,10.0.200.134,10.0.0.1,49153,9999,1063260,0,1969,0,1195,0,0,0
8,UDP,10.0.200.76,10.0.0.1,49153,9999,725760,52920,1344,98,827,60.6291,0.618664,0.014313
9,UDP,10.0.200.80,10.0.0.1,49153,9999,986580,540,1827,1,1401,0.520879,0.520879,0.000145106
10,UDP,10.0.200.106,10.0.0.1,49153,9999,1006560,0,1864,0,1304,0,0,0
11,TCP,10.0.0.1,10.0.200.4,5002,49153,108,108,2,2,0,0.0723678,0.0361839,0.0116683
12,UDP,10.0.200.78,10.0.0.1,49153,9999,1020600,18900,1890,35,1297,24.0269,0.686484,0.00512672
13,UDP,10.0.200.89,10.0.0.1,49153,9999,1014660,0,1879,0,1221,0,0,0
14,UDP,10.0.200.51,10.0.0.1,49153,9999,828360,781920,1534,1448,54,136.128,0.0940113,0.217424
15,UDP,10.0.200.95,10.0.0.1,49153,9999,957960,0,1774,0,1192,0,0,0
16,UDP,10.0.200.102,10.0.0.1,49153,9999,1072440,0,1986,0,1151,0,0,0
17,UDP,10.0.200.100,10.0.0.1,49153,9999,1036260,0,1919,0,1259,0,0,0
18,UDP,10.0.200.127,10.0.0.1,49153,9999,752760,0,1394,0,1059,0,0,0
19,UDP,10.0.200.52,10.0.0.1,49153,9999,714420,536220,1323,993,259,157.375,0.158485,0.144924
20,UDP,10.0.200.136,10.0.0.1,49153,9999,902340,0,1671,0,1057,0,0,0
21,UDP,10.0.200.82,10.0.0.1,49153,9999,1057860,540,1959,1,1402,0.647499,0.647499,0.000145359
22,UDP,10.0.200.69,10.0.0.1,49153,9999,902880,478980,1672,887,640,346.206,0.390311,0.128976
23,UDP,10.0.200.47,10.0.0.1,49153,9999,905040,647460,1676,1199,371,156.146,0.13023,0.174362
24,UDP,10.0.200.141,10.0.0.1,49153,9999,796500,0,1475,0,1117,0,0,0
25,TCP,10.0.200.5,10.0.0.1,49153,5003,3368,3368,7,7,0,0.203886,0.0291265,0.0831781
26,UDP,10.0.200.109,10.0.0.1,49153,9999,1011960,0,1874,0,1317,0,0,0
27,UDP,10.0.200.53,10.0.0.1,49153,9999,1029780,640440,1907,1186,658,226.89,0.191307,0.172606
28,UDP,10.0.200.55,10.0.0.1,49153,9999,1068120,845640,1978,1566,320,203.011,0.129637,0.227961
29,UDP,10.0.200.57,10.0.0.1,49153,9999,843480,644760,1562,1194,333,207.214,0.173546,0.1756
30,UDP,10.0.200.70,10.0.0.1,49153,9999,1007640,483840,1866,896,816,384.465,0.42909,0.130878
31,TCP,10.0.0.1,10.0.200.5,5003,49153,108,108,2,2,0,0.0585043,0.0292521,0.0143597
32,UDP,10.0.200.126,10.0.0.1,49153,9999,1093500,0,2025,0,1327,0,0,0
33,UDP,10.0.200.124,10.0.0.1,49153,9999,1024380,0,1897,0,1327,0,0,0
34,UDP,10.0.200.146,10.0.0.1,49153,9999,865620,0,1603,0,1182,0,0,0
35,UDP,10.0.200.143,10.0.0.1,49153,9999,989280,0,1832,0,1221,0,0,0
36,UDP,10.0.200.67,10.0.0.1,49153,9999,1094580,747360,2027,1384,481,412.031,0.29771,0.201711
37,UDP,10.0.200.115,10.0.0.1,49153,9999,1068120,0,1978,0,1383,0,0,0
38,UDP,10.0.200.135,10.0.0.1,49153,9999,1047060,0,1939,0,1199,0,0,0
39,UDP,10.0.200.133,10.0.0.1,49153,9999,907740,0,1681,0,1078,0,0,0
40,UDP,10.0.200.83,10.0.0.1,49153,9999,932040,0,1726,0,1279,0,0,0
41,UDP,10.0.200.145,10.0.0.1,49153,9999,1180440,0,2186,0,1518,0,0,0
42,UDP,10.0.200.117,10.0.0.1,49153,9999,953100,0,1765,0,1175,0,0,0
43,UDP,10.0.200.118,10.0.0.1,49153,9999,771660,0,1429,0,933,0,0,0
44,UDP,10.0.200.120,10.0.0.1,49153,9999,963900,0,1785,0,1190,0,0,0
45,TCP,10.0.200.6,10.0.0.1,49153,5004,3424,3368,8,7,1,0.666066,0.0951523,0.00693203
46,UDP,10.0.200.86,10.0.0.1,49153,9999,610740,0,1131,0,869,0,0,0
47,UDP,10.0.200.48,10.0.0.1,49153,9999,1113480,790560,2062,1464,542,199.995,0.136609,0.213939
48,UDP,10.0.200.121,10.0.0.1,49153,9999,787860,0,1459,0,986,0,0,0
49,UDP,10.0.200.81,10.0.0.1,49153,9999,1042200,0,1930,0,1449,0,0,0
50,UDP,10.0.200.114,10.0.0.1,49153,9999,1234980,0,2287,0,1445,0,0,0
51,UDP,10.0.200.111,10.0.0.1,49153,9999,940140,0,1741,0,1365,0,0,0
52,UDP,10.0.200.122,10.0.0.1,49153,9999,922320,0,1708,0,1319,0,0,0
53,UDP,10.0.200.59,10.0.0.1,49153,9999,1064340,0,1971,0,1405,0,0,0
54,UDP,10.0.200.125,10.0.0.1,49153,9999,950940,0,1761,0,1130,0,0,0
55,UDP,10.0.200.137,10.0.0.1,49153,9999,995220,0,1843,0,1354,0,0,0
56,TCP,10.0.200.7,10.0.0.1,49153,5005,3368,3368,7,7,0,0.213216,0.0304594,0.0818759
57,UDP,10.0.200.64,10.0.0.1,49153,9999,663660,0,1229,0,944,0,0,0
58,UDP,10.0.200.72,10.0.0.1,49153,9999,1112940,539460,2061,999,752,554.905,0.55546,0.146451
59,UDP,10.0.200.97,10.0.0.1,49153,9999,1043280,0,1932,0,1339,0,0,0
60,TCP,10.0.0.1,10.0.200.7,5005,49153,108,108,2,2,0,0.0634968,0.0317484,0.0128521
61,UDP,10.0.200.128,10.0.0.1,49153,9999,1234980,0,2287,0,1481,0,0,0
62,UDP,10.0.200.87,10.0.0.1,49153,9999,911520,0,1688,0,1018,0,0,0
63,UDP,10.0.200.129,10.0.0.1,49153,9999,1015740,0,1881,0,1392,0,0,0
64,UDP,10.0.200.63,10.0.0.1,49153,9999,995760,770580,1844,1427,324,292.417,0.204917,0.209346
65,UDP,10.0.200.104,10.0.0.1,49153,9999,1159920,0,2148,0,1425,0,0,0
66,UDP,10.0.200.79,10.0.0.1,49153,9999,1053000,7560,1950,14,1443,7.53091,0.537922,0.00205522
67,UDP,10.0.200.140,10.0.0.1,49153,9999,819720,0,1518,0,1008,0,0,0
68,UDP,10.0.200.107,10.0.0.1,49153,9999,1043280,0,1932,0,1541,0,0,0
69,UDP,10.0.200.138,10.0.0.1,49153,9999,713340,0,1321,0,1052,0,0,0
70,TCP,10.0.200.8,10.0.0.1,49153,5006,3368,3368,7,7,0,0.211571,0.0302244,0.0838172
71,UDP,10.0.200.71,10.0.0.1,49153,9999,848880,693360,1572,1284,201,533.36,0.415389,0.188725
72,UDP,10.0.200.73,10.0.0.1,49153,9999,882360,416340,1634,771,582,420.802,0.545787,0.11336
73,UDP,10.0.200.142,10.0.0.1,49153,9999,1094040,0,2026,0,1381,0,0,0
74,TCP,10.0.0.1,10.0.200.8,5006,49153,108,108,2,2,0,0.0568518,0.0284259,0.0141582
75,UDP,10.0.200.85,10.0.0.1,49153,9999,967680,0,1792,0,1295,0,0,0
76,UDP,10.0.200.50,10.0.0.1,49153,9999,1381320,0,2558,0,1739,0,0,0
77,UDP,10.0.200.92,10.0.0.1,49153,9999,923400,0,1710,0,1180,0,0,0
78,UDP,10.0.200.91,10.0.0.1,49153,9999,759780,0,1407,0,822,0,0,0
79,UDP,10.0.200.116,10.0.0.1,49153,9999,971460,0,1799,0,1256,0,0,0
80,UDP,10.0.200.119,10.0.0.1,49153,9999,914760,0,1694,0,1203,0,0,0
81,TCP,10.0.200.9,10.0.0.1,49153,5007,3368,3368,7,7,0,0.208563,0.0297947,0.0780027
82,UDP,10.0.200.61,10.0.0.1,49153,9999,952020,657180,1763,1217,533,178.544,0.146708,0.179505
83,UDP,10.0.200.90,10.0.0.1,49153,9999,810540,0,1501,0,1173,0,0,0
84,TCP,10.0.0.1,10.0.200.9,5007,49153,108,108,2,2,0,0.075104,0.037552,0.0112627
85,UDP,10.0.200.110,10.0.0.1,49153,9999,746280,0,1382,0,1126,0,0,0
86,UDP,10.0.200.130,10.0.0.1,49153,9999,717120,0,1328,0,953,0,0,0
87,UDP,10.0.200.56,10.0.0.1,49153,9999,917460,529740,1699,981,666,154.197,0.157184,0.152242
88,UDP,10.0.200.105,10.0.0.1,49153,9999,817020,0,1513,0,865,0,0,0
89,UDP,10.0.200.99,10.0.0.1,49153,9999,1012500,0,1875,0,1243,0,0,0
90,TCP,10.0.200.10,10.0.0.1,49153,5008,3424,3368,8,7,1,0.326399,0.0466284,0.00770588
91,UDP,10.0.200.96,10.0.0.1,49153,9999,1051380,0,1947,0,1308,0,0,0
92,UDP,10.0.200.139,10.0.0.1,49153,9999,985500,0,1825,0,1434,0,0,0
93,TCP,10.0.200.11,10.0.0.1,49153,5009,220,108,4,2,2,1.5229,0.76145,7.59617e-05
94,UDP,10.0.200.65,10.0.0.1,49153,9999,1003320,683640,1858,1266,549,314.027,0.248046,0.18954
95,UDP,10.0.200.112,10.0.0.1,49153,9999,797580,0,1477,0,954,0,0,0
96,UDP,10.0.200.58,10.0.0.1,49153,9999,861300,601560,1595,1114,402,166.981,0.149893,0.170862
97,UDP,10.0.200.113,10.0.0.1,49153,9999,758700,0,1405,0,959,0,0,0
98,UDP,10.0.200.93,10.0.0.1,49153,9999,1030860,0,1909,0,1281,0,0,0
99,UDP,10.0.200.49,10.0.0.1,49153,9999,1064340,673380,1971,1247,688,201.806,0.161833,0.185693
100,UDP,10.0.200.103,10.0.0.1,49153,9999,890460,0,1649,0,1066,0,0,0
101,UDP,10.0.200.60,10.0.0.1,49153,9999,782460,0,1449,0,1041,0,0,0
102,TCP,10.0.200.12,10.0.0.1,49153,5010,3424,3368,8,7,1,0.22199,0.0317128,0.00803954
103,UDP,10.0.200.98,10.0.0.1,49153,9999,922320,0,1708,0,1289,0,0,0
104,UDP,10.0.200.108,10.0.0.1,49153,9999,1145340,0,2121,0,1554,0,0,0
105,TCP,10.0.200.13,10.0.0.1,49153,5011,3420,3368,8,7,1,0.205478,0.029354,0.0227441
106,UDP,10.0.200.68,10.0.0.1,49153,9999,1105380,877500,2047,1625,278,472.852,0.290986,0.246812
107,TCP,10.0.0.1,10.0.200.13,5011,49153,108,108,2,2,0,0.0633877,0.0316939,0.0132921
