Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,-1,0,Timeout,0
TCP,1.2,-1,0,Timeout,0
TCP,1.5,-1,0,Timeout,0
TCP,1.8,-1,0,Timeout,0
TCP,2.2,-1,0,Timeout,0
TCP,2.4,-1,0,Timeout,0
TCP,2.3,-1,0,Timeout,0
TCP,2.9,-1,0,Timeout,0
TCP,2.8,-1,0,Timeout,0
TCP,2.6,-1,0,Timeout,0
TCP,2.7,-1,0,Timeout,0
TCP,3,-1,0,Timeout,0
TCP,3.1,-1,0,Timeout,0
TCP,3.2,-1,0,Timeout,0
TCP,3.3,-1,0,Timeout,0
TCP,3.6,-1,0,Timeout,0
TCP,3.5,-1,0,Timeout,0
TCP,3.7,-1,0,Timeout,0
TCP,3.8,-1,0,Timeout,0
TCP,3.9,-1,0,Timeout,0
TCP,4.2,-1,0,Timeout,0
TCP,4.3,-1,0,Timeout,0
TCP,4.1,-1,0,Timeout,0
TCP,4,-1,0,Timeout,0
TCP,4.4,-1,0,Timeout,0
TCP,4.5,-1,0,Timeout,0
TCP,4.7,-1,0,Timeout,0
TCP,4.6,-1,0,Timeout,0
TCP,4.9,-1,0,Timeout,0
TCP,4.8,-1,0,Timeout,0
TCP,5.2,-1,0,Timeout,0
TCP,5.4,-1,0,Timeout,0
TCP,5,-1,0,Timeout,0
TCP,5.3,-1,0,Timeout,0
TCP,1.7,368.635,1,Pending,0
TCP,1.6,1378.92,1,Pending,0
TCP,2,780.576,1,Pending,0
TCP,1.9,873.696,1,Pending,0
TCP,1.4,285.08,1,Pending,0
TCP,1.1,1401.29,1,Pending,0
TCP,1.3,1239.33,1,Pending,0
TCP,2.5,835.244,1,Pending,0
TCP,2.1,18029.7,1,Pending,0
TCP,3.4,4544.27,1,Pending,0
TCP,5.1,24460.9,1,Pending,0
