Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.06631,67.9061,1,,0
QUIC,1.5747,60.1971,1,,0
QUIC,2.06638,57.8419,1,,0
QUIC,3.06241,68.1279,1,,0
QUIC,3.68355,92.0525,1,,0
QUIC,4.77306,226.142,1,,0
QUIC,5.25758,723.49,1,,0
QUIC,6.06885,223.154,1,,0
QUIC,6.33696,81.7364,1,,0
QUIC,16.1463,-1,0,Timeout,0
QUIC,21.0876,1075.3,1,,0
QUIC,23.5485,368.865,1,,0
QUIC,23.6917,431.472,1,,0
QUIC,23.7265,399.715,1,,0
QUIC,20.0112,-1,0,Timeout,0
QUIC,21.0871,-1,0,Timeout,0
QUIC,21.0886,-1,0,Timeout,0
QUIC,24.1347,-1,0,Timeout,0
QUIC,24.636,-1,0,Timeout,0
QUIC,24.6358,-1,0,Timeout,0
