FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.0.200.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
2,UDP,10.0.200.76,10.0.0.1,49153,9999,3133620,0,5803,0,4060,0,0,0
3,UDP,10.0.200.64,10.0.0.1,49153,9999,3107160,1883520,5754,3488,1694,1005.94,0.2884,0.505886
4,UDP,10.0.200.48,10.0.0.1,49153,9999,3013200,0,5580,0,4022,0,0,0
5,UDP,10.0.200.72,10.0.0.1,49153,9999,3498660,785160,6479,1454,3836,1058.53,0.728014,0.212586
6,UDP,10.0.200.52,10.0.0.1,49153,9999,3206520,2255040,5938,4176,1762,1268.03,0.303646,0.606557
7,UDP,10.0.200.68,10.0.0.1,49153,9999,3133080,1501200,5802,2780,2702,1515.18,0.545028,0.403862
8,UDP,10.0.200.75,10.0.0.1,49153,9999,2542860,132300,4709,245,3592,211.189,0.861997,0.0359498
9,UDP,10.0.200.70,10.0.0.1,49153,9999,3690900,1416420,6835,2623,3406,1709.89,0.651883,0.381341
10,UDP,10.0.200.73,10.0.0.1,49153,9999,3495420,764640,6473,1416,3737,1009.42,0.712868,0.206151
11,UDP,10.0.200.47,10.0.0.1,49153,9999,2475900,0,4585,0,3253,0,0,0
12,UDP,10.0.200.60,10.0.0.1,49153,9999,3147120,2182140,5828,4041,1630,1195.08,0.295738,0.590437
13,UDP,10.0.200.50,10.0.0.1,49153,9999,3532680,2538000,6542,4700,1783,1354.88,0.288272,0.686955
14,UDP,10.0.200.58,10.0.0.1,49153,9999,4027320,0,7458,0,4970,0,0,0
15,UDP,10.0.200.63,10.0.0.1,49153,9999,2258280,1386180,4182,2567,1376,987.514,0.384696,0.38036
16,UDP,10.0.200.3,10.0.0.1,49153,8000,296826,296826,221,221,0,15.5698,0.0704518,0.99356
17,UDP,10.0.200.59,10.0.0.1,49153,9999,3234600,0,5990,0,4274,0,0,0
18,UDP,10.0.200.69,10.0.0.1,49153,9999,2605500,1103760,4825,2044,1861,1156.74,0.565918,0.300355
19,UDP,10.0.200.62,10.0.0.1,49153,9999,3398760,2317140,6294,4291,1951,1448.01,0.337452,0.648628
20,UDP,10.0.0.1,10.0.200.3,49153,49153,5529,5529,122,122,0,10.6981,0.0876892,0.0171813
21,UDP,10.0.200.61,10.0.0.1,49153,9999,2608200,1719360,4830,3184,1646,943.189,0.296228,0.469149
22,UDP,10.0.200.57,10.0.0.1,49153,9999,3040200,0,5630,0,4078,0,0,0
23,UDP,10.0.200.55,10.0.0.1,49153,9999,3090960,2042820,5724,3783,1871,1108.93,0.293136,0.559773
24,UDP,10.0.200.66,10.0.0.1,49153,9999,3561300,1763640,6595,3266,3150,1594.27,0.488142,0.513128
25,UDP,10.0.200.49,10.0.0.1,49153,9999,2932200,2076840,5430,3846,1478,1148.28,0.298566,0.571712
26,UDP,10.0.200.54,10.0.0.1,49153,9999,3234060,1690200,5989,3130,2859,943.337,0.301386,0.466067
27,UDP,10.0.200.4,10.0.0.1,49153,8000,296808,273304,216,197,34,20.9746,0.10647,0.750443
28,UDP,10.0.200.51,10.0.0.1,49153,9999,3110400,0,5760,0,3880,0,0,0
29,UDP,10.0.0.1,10.0.200.4,49154,49153,5102,4410,112,97,15,14.4726,0.149202,0.0112787
30,UDP,10.0.200.67,10.0.0.1,49153,9999,3114720,1704240,5768,3156,2513,1556.55,0.493202,0.494563
31,UDP,10.0.200.65,10.0.0.1,49153,9999,4132620,2007180,7653,3717,3730,1531.76,0.412096,0.554648
32,UDP,10.0.200.74,10.0.0.1,49153,9999,3223800,550260,5970,1019,4024,716.27,0.702914,0.152349
33,UDP,10.0.200.53,10.0.0.1,49153,9999,2796660,1730700,5179,3205,1923,1117.4,0.348644,0.479862
34,UDP,10.0.200.71,10.0.0.1,49153,9999,3254040,968220,6026,1793,2896,1184.59,0.660677,0.276033
35,UDP,10.0.200.5,10.0.0.1,49153,8000,126440,117368,89,83,10,11.4481,0.137929,0.514546
36,UDP,10.0.0.1,10.0.200.5,49155,49153,2971,2512,50,40,10,9.44702,0.236176,0.00991848
37,UDP,10.0.200.56,10.0.0.1,49153,9999,2349000,1795500,4350,3325,834,937.481,0.281949,0.515031
38,UDP,10.0.200.6,10.0.0.1,49153,8000,18871,18871,14,14,0,3.15553,0.225395,0.040913
39,UDP,10.0.0.1,10.0.200.6,49156,49153,418,283,9,6,3,6.81352,1.13559,0.000642519
40,UDP,10.0.200.7,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
