Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,-1,0,Timeout,0
TCP,1.2,-1,0,Timeout,0
TCP,1.5,-1,0,Timeout,0
TCP,1.9,-1,0,Timeout,0
TCP,2,-1,0,Timeout,0
TCP,2.2,-1,0,Timeout,0
TCP,2.3,-1,0,Timeout,0
TCP,2.4,-1,0,Timeout,0
TCP,2.5,-1,0,Timeout,0
TCP,2.8,-1,0,Timeout,0
TCP,2.7,-1,0,Timeout,0
TCP,2.9,-1,0,Timeout,0
TCP,3,-1,0,Timeout,0
TCP,3.1,-1,0,Timeout,0
TCP,3.2,-1,0,Timeout,0
TCP,3.3,-1,0,Timeout,0
TCP,3.4,-1,0,Timeout,0
TCP,3.8,-1,0,Timeout,0
TCP,3.9,-1,0,Timeout,0
TCP,3.7,-1,0,Timeout,0
TCP,3.5,-1,0,Timeout,0
TCP,3.6,-1,0,Timeout,0
TCP,4,-1,0,Timeout,0
TCP,4.1,-1,0,Timeout,0
TCP,4.2,-1,0,Timeout,0
TCP,4.3,-1,0,Timeout,0
TCP,4.4,-1,0,Timeout,0
TCP,4.5,-1,0,Timeout,0
TCP,4.6,-1,0,Timeout,0
TCP,4.7,-1,0,Timeout,0
TCP,4.8,-1,0,Timeout,0
TCP,4.9,-1,0,Timeout,0
TCP,5.2,-1,0,Timeout,0
TCP,5.3,-1,0,Timeout,0
TCP,5.4,-1,0,Timeout,0
TCP,5.1,-1,0,Timeout,0
TCP,5,-1,0,Timeout,0
TCP,1.8,204.9,1,Pending,0
TCP,1.6,182.493,1,Pending,0
TCP,1.3,154.761,1,Pending,0
TCP,1.4,264.947,1,Pending,0
TCP,1.7,166.536,1,Pending,0
TCP,1.1,121.72,1,Pending,0
TCP,2.1,189.082,1,Pending,0
TCP,2.6,25004.1,1,Pending,0
