FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,TCP,10.0.200.2,10.0.0.1,49153,5000,3368,3368,7,7,0,0.204413,0.0292018,0.0845065
2,TCP,10.0.0.1,10.0.200.2,5000,49153,108,108,2,2,0,0.0545535,0.0272768,0.0153832
3,TCP,10.0.200.3,10.0.0.1,49153,5001,3368,3368,7,7,0,0.210441,0.030063,0.0819332
4,TCP,10.0.0.1,10.0.200.3,5001,49153,108,108,2,2,0,0.0616079,0.0308039,0.0136672
5,TCP,10.0.200.4,10.0.0.1,49153,5002,3368,3368,7,7,0,0.245005,0.0350008,0.0838089
6,UDP,10.0.200.30,10.0.0.1,49153,9999,3258360,1209060,6034,2239,3795,612.973,0.273771,0.324738
7,TCP,10.0.0.1,10.0.200.4,5002,49153,108,108,2,2,0,0.061443,0.0307215,0.0138184
8,UDP,10.0.200.18,10.0.0.1,49153,9999,3703860,1478520,6859,2738,4073,724.809,0.264722,0.40201
9,UDP,10.0.200.20,10.0.0.1,49153,9999,2673540,1121040,4951,2076,2875,557.08,0.268343,0.301313
10,UDP,10.0.200.14,10.0.0.1,49153,9999,2894400,1158300,5360,2145,3162,549.193,0.256034,0.330542
11,UDP,10.0.200.12,10.0.0.1,49153,9999,3081780,1288980,5707,2387,3265,603.246,0.252721,0.361637
12,TCP,10.0.200.5,10.0.0.1,49153,5003,3872,3368,9,7,2,1.54986,0.221409,0.0018418
13,UDP,10.0.200.15,10.0.0.1,49153,9999,3845880,1408320,7122,2608,4347,683.86,0.262216,0.379514
14,TCP,10.0.0.1,10.0.200.5,5003,49153,108,108,2,2,0,1.43286,0.716429,0.00073625
15,UDP,10.0.200.7,10.0.0.1,49153,9999,3558600,1649160,6590,3054,3536,742.284,0.243053,0.451091
16,UDP,10.0.200.33,10.0.0.1,49153,9999,3627720,1293300,6718,2395,4316,635.085,0.265171,0.355385
17,UDP,10.0.200.16,10.0.0.1,49153,9999,2427300,997920,4495,1848,2647,456.9,0.24724,0.269453
18,UDP,10.0.200.8,10.0.0.1,49153,9999,3407400,1590840,6310,2946,3364,730.691,0.248028,0.4296
19,UDP,10.0.200.28,10.0.0.1,49153,9999,3912300,1386180,7245,2567,4654,727.255,0.283309,0.374391
20,TCP,10.0.200.6,10.0.0.1,49153,5004,3368,3368,7,7,0,0.593415,0.0847736,0.0742849
21,UDP,10.0.200.32,10.0.0.1,49153,9999,3500280,1380240,6482,2556,3926,687.788,0.269088,0.373461
22,UDP,10.0.200.26,10.0.0.1,49153,9999,3351780,1249020,6207,2313,3737,666.064,0.287965,0.340778
23,UDP,10.0.200.34,10.0.0.1,49153,9999,3056400,1148580,5660,2127,3520,583.908,0.274522,0.310863
24,TCP,10.0.0.1,10.0.200.6,5004,49153,108,108,2,2,0,0.0665517,0.0332758,0.00956543
25,UDP,10.0.200.24,10.0.0.1,49153,9999,2883600,1072440,5340,1986,3354,540.776,0.272294,0.293697
26,UDP,10.0.200.21,10.0.0.1,49153,9999,3345300,1386180,6195,2567,3508,655.259,0.255263,0.378671
27,UDP,10.0.200.17,10.0.0.1,49153,9999,2862540,1069200,5301,1980,3233,544.606,0.275054,0.294112
28,UDP,10.0.200.31,10.0.0.1,49153,9999,2029320,709020,3758,1313,2436,372.453,0.283666,0.203162
29,UDP,10.0.200.35,10.0.0.1,49153,9999,2927340,1060020,5421,1963,3458,550.485,0.28043,0.289977
30,UDP,10.0.200.23,10.0.0.1,49153,9999,2642220,990900,4893,1835,2970,499.418,0.272162,0.276206
31,UDP,10.0.200.27,10.0.0.1,49153,9999,3436560,1233900,6364,2285,3958,628.448,0.275032,0.341642
32,UDP,10.0.200.29,10.0.0.1,49153,9999,3527820,1369440,6533,2536,3979,681.426,0.268701,0.382411
33,UDP,10.0.200.36,10.0.0.1,49153,9999,3570480,1306800,6612,2420,4192,676.971,0.27974,0.359525
34,UDP,10.0.200.13,10.0.0.1,49153,9999,3114180,1152360,5767,2134,3633,573.571,0.268778,0.317347
35,UDP,10.0.200.25,10.0.0.1,49153,9999,3386880,1266840,6272,2346,3926,638.224,0.272048,0.3529
36,UDP,10.0.200.19,10.0.0.1,49153,9999,3151440,1116180,5836,2067,3769,569.62,0.275578,0.307962
37,UDP,10.0.200.9,10.0.0.1,49153,9999,2496420,1088640,4623,2016,2607,513.431,0.254678,0.301007
38,UDP,10.0.200.22,10.0.0.1,49153,9999,3332880,1225800,6172,2270,3902,602.468,0.265404,0.340166
39,UDP,10.0.200.11,10.0.0.1,49153,9999,3853980,1514700,7137,2805,4268,734.759,0.261946,0.42033
40,UDP,10.0.200.10,10.0.0.1,49153,9999,3090420,1382940,5723,2561,3162,646.455,0.252423,0.385577
